                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1884,                 3.3502,                 1.5822,                0.35464,                0.23113,                0.21958,                0.09998,                 1.8769,                  3.402,                 1.5278,             0.00054178,             0.00054178,             0.00054178
                      2,                 1.7912,                 2.2301,                 1.3393,                0.43943,                0.46833,                0.38106,                0.17583,                 1.8216,                 2.2035,                 1.4761,              0.0010757,              0.0010757,              0.0010757
                      3,                 1.7816,                 2.1054,                 1.3409,                0.44719,                0.49122,                0.41654,                0.20621,                 1.7401,                 2.7086,                 1.4212,              0.0015876,              0.0015876,              0.0015876
                      4,                 1.7772,                 1.9914,                 1.3458,                0.47429,                0.47357,                0.43375,                0.19918,                 1.7532,                 2.4027,                 1.3782,               0.001568,               0.001568,               0.001568
                      5,                 1.7059,                 1.7941,                 1.2893,                0.49867,                0.57427,                0.48202,                0.24531,                 1.6729,                  2.013,                 1.3421,               0.001568,               0.001568,               0.001568
                      6,                 1.7172,                  1.764,                  1.286,                0.51452,                 0.5717,                0.51598,                0.26518,                 1.6728,                 1.9901,                 1.3638,               0.001535,               0.001535,               0.001535
                      7,                 1.6796,                 1.7206,                 1.2835,                0.54461,                0.54649,                0.51352,                0.26182,                  1.666,                 1.7551,                 1.3354,               0.001502,               0.001502,               0.001502
                      8,                 1.6894,                 1.7007,                 1.2718,                0.52197,                0.57792,                0.51771,                0.27059,                 1.6341,                 1.9842,                  1.326,               0.001469,               0.001469,               0.001469
                      9,                 1.6504,                 1.6624,                 1.2539,                0.54827,                0.57539,                0.51513,                0.26096,                 1.6531,                 1.7159,                   1.34,               0.001436,               0.001436,               0.001436
                     10,                 1.6591,                 1.5961,                 1.2622,                0.48277,                0.58791,                0.51229,                0.26503,                  1.674,                 1.9101,                 1.3356,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.6508,                 1.5703,                 1.2551,                0.59411,                0.61572,                 0.5746,                0.29729,                 1.6529,                 1.5624,                 1.3188,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.6315,                 1.4928,                 1.2375,                0.58351,                0.60893,                0.58368,                0.29811,                 1.6896,                 1.5336,                 1.3305,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.6135,                 1.4906,                 1.2291,                0.61258,                 0.5824,                0.59264,                0.30414,                 1.6432,                 1.5543,                 1.3334,              0.0013039,              0.0013039,              0.0013039
                     14,                  1.605,                 1.4703,                 1.2462,                0.58785,                 0.5933,                 0.5739,                0.30454,                 1.6297,                 1.6187,                 1.3069,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.5853,                  1.436,                  1.215,                 0.5585,                0.63525,                0.58308,                0.30689,                 1.6328,                  1.554,                 1.3081,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.5914,                 1.4559,                 1.2314,                0.58129,                0.61216,                0.58981,                0.31263,                 1.5999,                 1.5157,                 1.3024,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.5844,                 1.3802,                 1.2067,                0.61698,                0.64219,                0.64386,                0.34157,                 1.6427,                  1.477,                 1.3147,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.5664,                  1.399,                  1.222,                0.61661,                0.63118,                0.59744,                0.30831,                 1.6521,                 1.4597,                 1.3152,              0.0011389,              0.0011389,              0.0011389
