                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9046,                  3.197,                 1.4523,                0.01302,                0.45617,                0.21911,                0.12577,                 1.4538,                 3.3676,                 1.3324,             0.00054211,             0.00054211,             0.00054211
                      2,                 1.4211,                  2.016,                 1.1629,                 0.4853,                0.62407,                0.53797,                 0.3196,                 1.3624,                   2.53,                 1.2799,              0.0010869,              0.0010869,              0.0010869
                      3,                 1.3421,                 1.7589,                 1.1324,                0.48658,                0.58396,                0.50171,                0.32384,                 1.4098,                 2.9013,                 1.4818,              0.0016207,              0.0016207,              0.0016207
                      4,                 1.2802,                 1.6768,                 1.1096,                0.63085,                0.62366,                0.63846,                0.43283,                 1.3347,                 1.9465,                 1.3613,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.2444,                  1.559,                 1.0872,                0.60225,                0.65138,                0.61739,                0.41656,                 1.4164,                 2.0332,                 1.4065,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.2061,                 1.4577,                 1.0611,                0.61885,                0.60605,                0.62187,                0.43921,                  1.205,                 1.9934,                 1.2687,               0.001601,               0.001601,               0.001601
                      7,                 1.1819,                 1.4476,                 1.0642,                0.64696,                0.67321,                 0.6973,                0.50149,                  1.224,                 1.5968,                 1.2711,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.1933,                 1.3836,                 1.0703,                0.68859,                 0.6834,                 0.7131,                0.50962,                 1.1964,                 1.5606,                 1.2236,               0.001568,               0.001568,               0.001568
                      9,                 1.1284,                 1.2965,                 1.0461,                0.71877,                0.66063,                0.73158,                0.53168,                 1.0805,                 1.6392,                 1.1695,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.1178,                 1.3879,                 1.0455,                0.70065,                0.70549,                0.73287,                0.54243,                  1.053,                 1.6552,                 1.1464,               0.001535,               0.001535,               0.001535
                     11,                  1.091,                 1.2273,                 1.0279,                0.67842,                0.69801,                 0.7226,                0.52922,                 1.1878,                 1.5967,                 1.2326,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.1261,                 1.2569,                 1.0522,                0.68888,                0.72305,                0.75822,                0.56316,                 1.0727,                 1.3543,                 1.1673,               0.001502,               0.001502,               0.001502
                     13,                 1.0733,                 1.1657,                 1.0218,                0.70719,                0.69946,                0.73829,                0.54506,                 1.1283,                 1.5567,                 1.1906,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.0863,                 1.1748,                 1.0212,                0.71426,                0.72351,                0.76599,                0.56902,                 1.1169,                 1.6376,                 1.1647,               0.001469,               0.001469,               0.001469
                     15,                 1.0836,                 1.1704,                 1.0288,                0.73903,                0.70051,                0.76741,                0.55878,                 1.1732,                 1.4964,                 1.2315,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.0396,                 1.1062,                 1.0125,                0.68429,                 0.7337,                0.75749,                 0.5649,                 1.1033,                 1.4931,                 1.1636,               0.001436,               0.001436,               0.001436
                     17,                 1.0632,                 1.1047,                 1.0135,                 0.7011,                0.76552,                0.77802,                0.58379,                 1.0911,                 1.3655,                 1.1767,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.0295,                  1.097,                 1.0065,                0.74334,                0.72267,                  0.779,                0.59089,                 1.0764,                 1.4842,                 1.1548,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.0265,                 1.0416,                 0.9958,                0.76275,                0.69552,                0.77135,                0.58812,                 1.0438,                 1.3713,                 1.1762,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.0136,                 1.0347,                 1.0005,                0.76603,                0.72868,                0.79686,                0.60355,                  1.024,                  1.399,                 1.1354,              0.0013699,              0.0013699,              0.0013699
                     21,                  1.028,                 1.0463,                 1.0019,                0.73534,                0.71198,                 0.7729,                0.59081,                 1.0182,                 1.4736,                  1.148,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.0093,                 1.0176,                0.99501,                0.76176,                0.74646,                0.79737,                0.61314,                 1.0102,                 1.3743,                 1.1309,              0.0013369,              0.0013369,              0.0013369
                     23,                0.98961,                  1.032,                0.99952,                0.73729,                0.74639,                0.78135,                0.58659,                 1.0247,                 1.5079,                 1.1251,              0.0013204,              0.0013204,              0.0013204
                     24,                0.99005,                0.99432,                0.97928,                0.74974,                0.70379,                 0.7698,                0.57915,                 1.0589,                 1.1612,                  1.189,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.0086,                  1.033,                0.99883,                0.72394,                0.73782,                0.78123,                0.61264,                0.98732,                 1.4372,                 1.1384,              0.0012874,              0.0012874,              0.0012874
                     26,                 0.9723,                0.95365,                0.97622,                 0.7825,                0.73209,                0.79484,                0.61276,                 1.0009,                 1.4156,                 1.1199,              0.0012709,              0.0012709,              0.0012709
                     27,                0.96546,                0.98268,                0.97643,                0.76905,                 0.7321,                0.78802,                0.60514,                 1.0302,                 1.2953,                 1.1356,              0.0012544,              0.0012544,              0.0012544
                     28,                0.98215,                0.94568,                0.97135,                0.75058,                0.75628,                0.79441,                0.61327,                 1.0898,                 1.3952,                  1.189,              0.0012379,              0.0012379,              0.0012379
                     29,                0.97015,                0.95799,                0.98203,                0.76669,                0.71558,                0.78437,                0.59944,                  1.129,                 1.3074,                 1.2104,              0.0012214,              0.0012214,              0.0012214
                     30,                0.96328,                0.91764,                0.98138,                0.77488,                0.74696,                0.80625,                0.63168,                 0.9054,                 1.2558,                 1.0673,              0.0012049,              0.0012049,              0.0012049
                     31,                0.95419,                  0.951,                0.96533,                0.76859,                 0.7211,                0.78848,                0.61708,                0.97252,                 1.2058,                 1.1024,              0.0011884,              0.0011884,              0.0011884
                     32,                0.94119,                0.91157,                0.97172,                0.76255,                0.75128,                0.80484,                0.62302,                0.94556,                 1.3423,                 1.1118,              0.0011719,              0.0011719,              0.0011719
                     33,                0.94209,                0.89731,                  0.969,                0.78198,                 0.7352,                0.79565,                0.61981,                 1.0019,                  1.268,                 1.1387,              0.0011554,              0.0011554,              0.0011554
                     34,                 0.9322,                0.89228,                0.96511,                0.75661,                0.72867,                0.79717,                0.62539,                0.98308,                 1.1688,                 1.1313,              0.0011389,              0.0011389,              0.0011389
                     35,                0.94254,                0.90256,                0.96938,                0.77804,                0.73505,                0.81269,                0.62303,                 1.0132,                 1.4577,                 1.1555,              0.0011224,              0.0011224,              0.0011224
                     36,                0.94137,                0.91813,                0.97601,                0.73533,                0.76075,                0.80563,                0.62575,                 1.0792,                 1.3031,                   1.23,              0.0011059,              0.0011059,              0.0011059
                     37,                0.93951,                0.90577,                0.97227,                 0.8007,                0.74543,                0.81571,                0.64453,                 1.0075,                 1.4692,                 1.1497,              0.0010894,              0.0010894,              0.0010894
                     38,                 0.9101,                0.86626,                0.96248,                0.74808,                0.75292,                0.79122,                0.62734,                0.99024,                 1.3738,                 1.1142,              0.0010729,              0.0010729,              0.0010729
                     39,                0.93956,                0.86135,                0.96403,                0.80241,                0.71593,                 0.8189,                0.63585,                0.99611,                  1.535,                 1.1252,              0.0010564,              0.0010564,              0.0010564
                     40,                0.91092,                0.83476,                0.95681,                 0.7761,                0.77209,                0.82638,                 0.6466,                 0.9835,                 1.3438,                 1.1524,              0.0010399,              0.0010399,              0.0010399
                     41,                0.90142,                0.83998,                  0.951,                0.78857,                0.74233,                0.81885,                0.64146,                0.94292,                 1.1286,                 1.0981,              0.0010234,              0.0010234,              0.0010234
                     42,                0.90344,                0.83667,                0.94492,                0.73531,                0.75741,                 0.7879,                0.61759,                 1.0046,                 1.2881,                 1.1835,              0.0010069,              0.0010069,              0.0010069
                     43,                0.93361,                0.84606,                0.95917,                0.77569,                 0.7734,                 0.8228,                0.64772,                0.95694,                 1.3026,                 1.1267,             0.00099036,             0.00099036,             0.00099036
