                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84456,                0.71549,                0.93071,                0.79653,                0.62647,                0.72233,                0.55638,                0.93174,                 1.1173,                 1.0217,                0.06748,              3.252e-07,              3.252e-07
                      2,                0.78595,                0.64209,                0.90865,                0.80232,                0.75303,                 0.8161,                 0.6571,                0.80345,                0.81525,                 0.9663,               0.034147,             6.5195e-07,             6.5195e-07
                      3,                0.77245,                0.60457,                0.90548,                0.82594,                0.77186,                0.84735,                0.68883,                 0.7703,                 0.7227,                0.94928,             0.00081398,             9.7203e-07,             9.7203e-07
                      4,                0.76489,                0.59459,                 0.9034,                0.82168,                0.78436,                0.85169,                0.69153,                0.76022,                0.71307,                0.94251,                9.7e-07,                9.7e-07,                9.7e-07
                      5,                 0.7614,                0.61406,                0.90178,                0.82093,                0.78809,                0.85266,                0.69277,                0.75849,                0.71237,                0.94115,                9.7e-07,                9.7e-07,                9.7e-07
                      6,                0.75522,                0.59642,                 0.8961,                0.82469,                0.78584,                0.85239,                0.69257,                  0.758,                0.71198,                0.94132,                9.6e-07,                9.6e-07,                9.6e-07
                      7,                0.75974,                 0.5994,                0.90435,                0.83551,                0.77417,                0.85234,                0.69337,                0.75706,                0.71183,                0.94036,                9.5e-07,                9.5e-07,                9.5e-07
                      8,                0.77375,                0.60687,                0.90868,                0.82678,                0.78282,                0.85106,                0.69256,                0.75543,                0.71282,                0.93985,                9.4e-07,                9.4e-07,                9.4e-07
                      9,                0.75351,                0.58873,                0.89746,                0.83522,                0.77392,                0.85282,                0.69399,                0.75419,                0.70981,                0.93885,                9.3e-07,                9.3e-07,                9.3e-07
                     10,                0.76913,                0.60195,                0.91167,                0.82193,                 0.7861,                 0.8528,                0.69307,                0.75321,                0.70807,                0.93962,                9.2e-07,                9.2e-07,                9.2e-07
