                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9046,                  3.197,                 1.4523,                0.01302,                0.45617,                0.21911,                0.12577,                 1.4538,                 3.3676,                 1.3324,             0.00054211,             0.00054211,             0.00054211
                      2,                 1.4228,                  2.015,                 1.1623,                0.47945,                0.61534,                0.52361,                0.31117,                 1.4823,                  2.776,                 1.3279,               0.001076,               0.001076,               0.001076
                      3,                  1.339,                 1.7651,                  1.139,                0.54217,                0.55114,                0.53277,                0.35296,                 1.3184,                 2.6195,                 1.3923,               0.001588,               0.001588,               0.001588
                      4,                 1.2877,                 1.6888,                 1.1207,                0.62842,                 0.5634,                0.60115,                0.40675,                 1.4252,                 1.8945,                 1.4919,               0.001568,               0.001568,               0.001568
                      5,                 1.2395,                 1.5878,                 1.0921,                 0.6344,                0.60611,                0.63831,                0.44177,                  1.241,                 2.2114,                 1.2348,               0.001568,               0.001568,               0.001568
                      6,                  1.191,                 1.4679,                 1.0625,                0.59961,                0.59485,                0.60244,                0.42613,                 1.2593,                 2.1292,                 1.3038,               0.001535,               0.001535,               0.001535
                      7,                 1.1709,                 1.4374,                 1.0649,                0.63439,                0.65009,                0.66301,                0.47147,                 1.2178,                 1.5909,                 1.2962,               0.001502,               0.001502,               0.001502
                      8,                  1.179,                 1.3907,                 1.0692,                0.61575,                0.67291,                0.66086,                0.47472,                 1.1502,                 1.8382,                 1.1962,               0.001469,               0.001469,               0.001469
                      9,                 1.1231,                  1.292,                 1.0484,                0.71308,                0.68359,                0.72268,                0.51932,                 1.2406,                 1.6089,                 1.2474,               0.001436,               0.001436,               0.001436
                     10,                 1.1243,                 1.3423,                 1.0554,                0.67306,                0.70156,                  0.729,                0.54753,                 1.0638,                 1.4667,                 1.2042,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.0795,                 1.2317,                 1.0266,                0.69464,                 0.6851,                0.71935,                0.54394,                 1.1267,                 1.6246,                 1.2125,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.1134,                 1.2624,                 1.0582,                0.69574,                0.71283,                0.75869,                0.56983,                  1.082,                 1.4426,                 1.2101,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.0658,                 1.1683,                 1.0234,                0.69571,                0.72128,                 0.7463,                0.54201,                 1.0768,                 1.5974,                 1.1811,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.0745,                 1.1683,                 1.0211,                0.68539,                0.73866,                0.77289,                0.58772,                 1.0305,                 1.5285,                 1.1676,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.0494,                 1.1434,                 1.0206,                0.70623,                0.72567,                0.76612,                0.57813,                   1.16,                 1.5413,                 1.2467,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.0058,                 1.0977,                 1.0047,                0.69645,                0.69854,                0.74178,                0.56091,                0.99111,                 1.6149,                 1.1346,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.0349,                 1.1008,                 1.0046,                0.72392,                0.71094,                0.76556,                0.57804,                  1.002,                 1.6994,                 1.1305,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.0201,                 1.0772,                  1.004,                0.73198,                0.73262,                0.77241,                0.57437,                 1.1568,                 1.3987,                 1.2461,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.0112,                  1.028,                0.99647,                 0.7628,                0.72175,                0.79213,                0.61419,                 1.0262,                 1.3455,                 1.1814,              0.0011059,              0.0011059,              0.0011059
                     20,                0.98774,                 1.0226,                 0.9921,                0.77235,                0.73251,                0.80689,                0.62957,                0.92298,                 1.3159,                   1.09,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.0004,                 1.0212,                0.99093,                0.71614,                0.71299,                0.75884,                0.58415,                0.93663,                 1.4982,                 1.1067,              0.0010399,              0.0010399,              0.0010399
                     22,                 0.9908,                 1.0058,                0.99222,                0.74366,                0.74539,                0.79424,                0.61162,                0.95549,                 1.3524,                 1.1077,              0.0010069,              0.0010069,              0.0010069
                     23,                0.96512,                 1.0212,                0.99525,                0.76906,                0.72157,                0.78875,                 0.5971,                 1.0078,                 1.4517,                 1.1165,             0.00097386,             0.00097386,             0.00097386
                     24,                 0.9674,                0.98136,                0.97536,                0.74259,                 0.7315,                0.78701,                0.60766,                0.97684,                 1.2754,                 1.1417,             0.00094085,             0.00094085,             0.00094085
                     25,                0.98251,                  1.025,                0.99222,                0.76566,                0.73247,                0.80902,                0.63448,                0.97745,                 1.4478,                 1.1506,             0.00090785,             0.00090785,             0.00090785
                     26,                0.94047,                0.93465,                0.96712,                0.76604,                 0.7668,                0.82041,                0.64719,                0.99047,                 1.3922,                   1.14,             0.00087484,             0.00087484,             0.00087484
                     27,                0.93779,                0.94343,                0.97053,                0.79086,                0.73962,                0.81328,                0.63848,                 1.0242,                 1.4279,                 1.1641,             0.00084184,             0.00084184,             0.00084184
                     28,                0.95107,                0.91113,                0.96223,                0.72661,                0.76135,                0.79269,                0.62363,                0.99001,                 1.3096,                 1.1193,             0.00080883,             0.00080883,             0.00080883
                     29,                0.93949,                0.93872,                0.97164,                0.76366,                0.75902,                0.81778,                0.65081,                0.94083,                 1.3364,                 1.1056,             0.00077582,             0.00077582,             0.00077582
                     30,                 0.9344,                0.89754,                 0.9721,                0.79797,                0.74546,                 0.8159,                0.64484,                0.90365,                 1.2219,                 1.0855,             0.00074282,             0.00074282,             0.00074282
                     31,                0.92166,                0.90523,                0.95411,                0.77528,                0.76409,                0.82243,                0.65222,                0.88604,                 1.2602,                 1.0646,             0.00070981,             0.00070981,             0.00070981
                     32,                0.91251,                0.87622,                0.96454,                0.76142,                0.76616,                0.81773,                0.63923,                0.89127,                 1.3021,                 1.0853,              0.0006768,              0.0006768,              0.0006768
                     33,                 0.9138,                0.86411,                0.96465,                0.77967,                 0.7513,                 0.8148,                0.64764,                0.97385,                 1.3023,                 1.1372,              0.0006438,              0.0006438,              0.0006438
                     34,                0.88907,                0.85047,                0.94943,                0.80159,                0.72958,                0.81583,                0.63896,                0.95696,                 1.1683,                 1.1263,             0.00061079,             0.00061079,             0.00061079
                     35,                0.89471,                0.84067,                0.95199,                0.80295,                0.75311,                0.82287,                 0.6582,                0.90557,                 1.1372,                 1.0746,             0.00057778,             0.00057778,             0.00057778
                     36,                0.89738,                0.84814,                0.95642,                 0.7893,                0.77872,                0.82985,                0.65474,                0.99865,                 1.2713,                 1.1434,             0.00054478,             0.00054478,             0.00054478
                     37,                 0.8843,                0.84914,                0.95498,                0.75328,                0.77694,                0.82993,                0.66535,                0.95669,                 1.2114,                 1.1141,             0.00051177,             0.00051177,             0.00051177
                     38,                0.86536,                0.80387,                0.94729,                0.81075,                0.76262,                0.83401,                0.66806,                 1.0426,                 1.1981,                 1.2001,             0.00047876,             0.00047876,             0.00047876
                     39,                0.88357,                0.79918,                 0.9437,                0.77425,                0.77189,                 0.8273,                0.66114,                0.96476,                 1.2141,                 1.1475,             0.00044576,             0.00044576,             0.00044576
                     40,                0.85989,                0.77383,                 0.9396,                0.79968,                0.76385,                0.83408,                0.66996,                 0.9078,                 1.1662,                 1.1132,             0.00041275,             0.00041275,             0.00041275
                     41,                0.83671,                0.78282,                0.94293,                 0.7662,                0.77421,                0.83073,                0.66553,                0.94859,                 1.2719,                  1.115,             0.00037974,             0.00037974,             0.00037974
