                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8507,                  2.914,                 1.4829,                0.41839,                0.55974,                0.42697,                   0.27,                 1.2653,                 10.164,                 1.3023,             0.00054211,             0.00054211,             0.00054211
                      2,                 1.3022,                 1.6723,                 1.1866,                0.46319,                0.62333,                0.49865,                0.31173,                 1.2819,                 5.9757,                  1.355,              0.0010869,              0.0010869,              0.0010869
                      3,                 1.2425,                 1.4453,                  1.162,                0.47225,                0.52913,                0.49847,                0.33762,                 1.2187,                 2.4832,                 1.2303,              0.0016207,              0.0016207,              0.0016207
                      4,                 1.1983,                 1.3943,                 1.1344,                0.60089,                 0.6327,                0.63006,                0.43446,                 1.1698,                 1.4077,                 1.2116,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.1762,                 1.2861,                 1.1324,                0.61578,                0.59949,                0.61938,                0.43501,                 1.2016,                 1.6927,                 1.2614,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.1618,                  1.215,                 1.1086,                0.66412,                 0.6484,                0.66632,                0.44928,                 1.1507,                 1.6157,                  1.221,               0.001601,               0.001601,               0.001601
                      7,                 1.1438,                 1.1897,                 1.1073,                0.65316,                0.64505,                0.67544,                0.49071,                 1.0693,                 1.4682,                 1.1619,              0.0015845,              0.0015845,              0.0015845
                      8,                  1.108,                  1.147,                 1.0946,                0.69447,                0.68481,                0.73859,                0.53657,                 1.0306,                 1.3767,                  1.154,               0.001568,               0.001568,               0.001568
                      9,                 1.0797,                  1.105,                  1.081,                0.71515,                0.72872,                0.75873,                0.55629,                0.98507,                 1.0357,                  1.115,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.0558,                  1.157,                 1.0704,                0.66845,                0.69116,                0.72756,                0.52649,                 1.0668,                 1.3831,                 1.1716,               0.001535,               0.001535,               0.001535
                     11,                 1.0237,                 1.0215,                 1.0499,                0.71344,                0.70659,                0.75404,                0.55128,                0.99725,                  1.067,                 1.1332,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.0757,                 1.0934,                  1.093,                0.70083,                0.72299,                0.75153,                0.56046,                0.95852,                 1.0475,                 1.0955,               0.001502,               0.001502,               0.001502
                     13,                  1.028,                0.98786,                 1.0528,                0.75391,                0.70993,                0.76894,                0.57472,                 0.9822,                 1.0449,                 1.1229,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.0305,                0.99548,                 1.0528,                0.73902,                0.70294,                0.76675,                0.57393,                0.98475,                 1.0394,                 1.1254,               0.001469,               0.001469,               0.001469
                     15,                 1.0049,                0.97992,                 1.0477,                0.73222,                0.73048,                0.78298,                0.59888,                 0.9305,                0.98167,                 1.0793,              0.0014525,              0.0014525,              0.0014525
                     16,                0.98122,                0.93724,                 1.0417,                0.73017,                0.75001,                0.78808,                0.60101,                0.93705,                0.93403,                 1.1082,               0.001436,               0.001436,               0.001436
                     17,                0.99842,                0.92467,                 1.0359,                 0.7369,                0.76261,                0.78596,                 0.6051,                0.92033,                0.97374,                 1.0716,              0.0014195,              0.0014195,              0.0014195
                     18,                0.98231,                0.93574,                 1.0289,                0.74748,                0.73079,                0.78701,                0.59203,                0.93263,                 1.0168,                 1.0871,              0.0014029,              0.0014029,              0.0014029
                     19,                0.95587,                0.88953,                 1.0196,                0.78064,                0.75417,                 0.8097,                0.62353,                0.90083,                0.85129,                 1.0684,              0.0013864,              0.0013864,              0.0013864
                     20,                0.94059,                0.88473,                 1.0222,                0.78279,                0.73639,                0.81049,                0.62841,                0.90197,                0.87057,                 1.0595,              0.0013699,              0.0013699,              0.0013699
                     21,                0.96194,                0.90892,                 1.0181,                0.78237,                 0.7421,                 0.8072,                0.62008,                0.88948,                0.97151,                 1.0575,              0.0013534,              0.0013534,              0.0013534
                     22,                  0.942,                0.87667,                 1.0173,                 0.7585,                0.76774,                0.80563,                0.61367,                0.90519,                0.98771,                 1.0749,              0.0013369,              0.0013369,              0.0013369
                     23,                0.92161,                0.87296,                 1.0249,                0.76947,                0.74728,                0.79532,                0.59791,                0.95966,                0.92464,                 1.0964,              0.0013204,              0.0013204,              0.0013204
                     24,                0.93718,                0.86999,                 1.0063,                0.78544,                0.76413,                0.82463,                 0.6349,                0.87409,                0.85203,                 1.0462,              0.0013039,              0.0013039,              0.0013039
                     25,                0.94178,                0.88217,                 1.0207,                0.75677,                0.78115,                0.81345,                0.63246,                0.88411,                0.93762,                 1.0536,              0.0012874,              0.0012874,              0.0012874
                     26,                0.91253,                0.80619,                0.99792,                0.76592,                0.78668,                0.81944,                 0.6299,                0.90549,                0.93883,                 1.0674,              0.0012709,              0.0012709,              0.0012709
                     27,                0.91224,                0.83168,                 1.0104,                0.79358,                0.75841,                0.81603,                0.63016,                0.88318,                0.84965,                 1.0583,              0.0012544,              0.0012544,              0.0012544
                     28,                0.90942,                0.81207,                0.98686,                0.79099,                0.75636,                0.82108,                0.64147,                0.85518,                0.88916,                 1.0399,              0.0012379,              0.0012379,              0.0012379
                     29,                 0.9117,                0.81783,                 1.0005,                0.78146,                0.78351,                 0.8304,                0.64746,                 0.8374,                0.82821,                 1.0342,              0.0012214,              0.0012214,              0.0012214
                     30,                0.90152,                0.78006,                  1.001,                0.78638,                0.73887,                0.80284,                0.61898,                 0.8819,                0.87149,                 1.0674,              0.0012049,              0.0012049,              0.0012049
                     31,                0.90089,                0.81947,                0.98989,                0.79809,                0.73452,                0.80754,                0.63171,                0.87293,                0.83135,                 1.0464,              0.0011884,              0.0011884,              0.0011884
                     32,                0.88518,                0.76844,                 0.9958,                0.82263,                0.76306,                 0.8307,                0.64572,                0.85359,                0.79054,                 1.0421,              0.0011719,              0.0011719,              0.0011719
                     33,                0.88462,                0.75627,                0.99806,                0.79556,                0.78122,                0.83507,                0.65298,                0.84845,                0.78189,                 1.0463,              0.0011554,              0.0011554,              0.0011554
                     34,                0.85854,                0.74996,                0.98177,                0.79364,                 0.7602,                0.83441,                0.65336,                0.87976,                0.84435,                 1.0646,              0.0011389,              0.0011389,              0.0011389
                     35,                 0.8833,                0.74578,                0.99011,                 0.7618,                0.80432,                0.82847,                0.65289,                0.83556,                0.81304,                 1.0384,              0.0011224,              0.0011224,              0.0011224
                     36,                0.87897,                0.75319,                0.99409,                0.81702,                0.75127,                 0.8324,                0.65025,                0.84551,                0.83419,                 1.0504,              0.0011059,              0.0011059,              0.0011059
                     37,                0.87068,                0.75458,                0.99383,                 0.8139,                0.76689,                0.84445,                0.66073,                0.85224,                0.76435,                 1.0374,              0.0010894,              0.0010894,              0.0010894
                     38,                0.85734,                0.72963,                0.99324,                0.80353,                0.76077,                0.82528,                0.64907,                0.84374,                0.80085,                 1.0304,              0.0010729,              0.0010729,              0.0010729
                     39,                0.86843,                0.72243,                0.98435,                0.78731,                0.79421,                0.83225,                 0.6515,                0.83517,                0.84312,                 1.0276,              0.0010564,              0.0010564,              0.0010564
                     40,                0.84271,                0.69958,                0.96817,                0.80427,                0.77286,                0.83295,                0.64752,                0.88041,                 0.7784,                 1.0432,              0.0010399,              0.0010399,              0.0010399
                     41,                0.84087,                0.71367,                  0.974,                0.82651,                0.74004,                 0.8427,                0.66405,                0.84972,                0.75723,                 1.0433,              0.0010234,              0.0010234,              0.0010234
                     42,                0.82191,                0.69017,                0.96075,                0.82752,                0.73977,                0.82662,                0.65386,                0.81295,                0.79683,                 1.0267,              0.0010069,              0.0010069,              0.0010069
                     43,                0.84606,                0.69467,                0.96982,                0.79514,                0.75895,                0.81262,                0.63271,                0.86209,                0.81779,                 1.0322,             0.00099036,             0.00099036,             0.00099036
                     44,                0.85666,                 0.7775,                0.98391,                0.80232,                0.78514,                0.84095,                0.66531,                0.83253,                0.75567,                 1.0266,             0.00097386,             0.00097386,             0.00097386
                     45,                0.84232,                 0.6866,                0.98439,                0.79781,                0.78898,                0.83743,                0.65364,                0.85257,                0.79522,                 1.0409,             0.00095736,             0.00095736,             0.00095736
                     46,                0.82103,                 0.6731,                0.96066,                0.82726,                0.76967,                0.83184,                0.65928,                0.84273,                0.77122,                 1.0499,             0.00094085,             0.00094085,             0.00094085
                     47,                0.84885,                0.73407,                0.97048,                0.82559,                0.74959,                0.83732,                0.66591,                0.83262,                0.75434,                 1.0271,             0.00092435,             0.00092435,             0.00092435
                     48,                0.82174,                0.65911,                0.96606,                 0.8079,                0.80319,                0.85084,                0.67354,                0.84623,                0.79619,                 1.0302,             0.00090785,             0.00090785,             0.00090785
                     49,                0.80753,                0.67079,                0.96749,                0.79687,                0.78159,                0.83895,                0.66385,                0.81873,                0.77007,                   1.02,             0.00089134,             0.00089134,             0.00089134
                     50,                0.80815,                0.64925,                0.96117,                0.81129,                0.77846,                0.83834,                0.66823,                0.80102,                0.76906,                 1.0209,             0.00087484,             0.00087484,             0.00087484
