                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  0.805,                0.64993,                  0.961,                0.79307,                0.76187,                0.81184,                0.63379,                0.88447,                0.80158,                  1.065,                0.06748,              3.252e-07,              3.252e-07
                      2,                0.76959,                0.61537,                0.93805,                0.81041,                0.78596,                0.83975,                0.67659,                0.81901,                0.74115,                 1.0286,               0.034147,             6.5195e-07,             6.5195e-07
                      3,                0.75659,                0.57536,                0.93654,                0.85687,                 0.7763,                0.86046,                0.69716,                0.79348,                0.67618,                 1.0129,             0.00081398,             9.7203e-07,             9.7203e-07
                      4,                0.75229,                0.57843,                0.93684,                0.84393,                0.78851,                0.86132,                0.70092,                0.78649,                0.66984,                 1.0118,                9.7e-07,                9.7e-07,                9.7e-07
                      5,                0.74524,                 0.5842,                0.93228,                 0.8432,                0.79025,                0.86072,                0.70064,                 0.7854,                0.67039,                 1.0113,                9.7e-07,                9.7e-07,                9.7e-07
                      6,                  0.737,                0.57211,                0.92221,                0.84762,                0.79091,                0.86169,                0.70179,                0.78277,                0.67032,                 1.0106,                9.6e-07,                9.6e-07,                9.6e-07
                      7,                0.74067,                0.57224,                0.93385,                0.84629,                0.78981,                0.86093,                0.69983,                0.78344,                0.66961,                 1.0112,                9.5e-07,                9.5e-07,                9.5e-07
                      8,                0.75542,                 0.5845,                0.93772,                0.84985,                0.78892,                0.86065,                0.70069,                 0.7839,                 0.6719,                 1.0113,                9.4e-07,                9.4e-07,                9.4e-07
                      9,                0.73377,                 0.5606,                0.92565,                0.85039,                 0.7902,                 0.8608,                0.70064,                0.78358,                0.67045,                 1.0114,                9.3e-07,                9.3e-07,                9.3e-07
                     10,                0.74168,                0.58781,                0.93593,                0.84859,                0.78958,                 0.8613,                0.70133,                0.78145,                0.66945,                 1.0109,                9.2e-07,                9.2e-07,                9.2e-07
