                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8507,                  2.914,                 1.4829,                0.41839,                0.55974,                0.42697,                   0.27,                 1.2653,                 10.164,                 1.3023,             0.00054211,             0.00054211,             0.00054211
                      2,                 1.3038,                 1.6715,                 1.1848,                  0.503,                0.62703,                0.53667,                0.34569,                 1.2349,                  3.725,                 1.2782,               0.001076,               0.001076,               0.001076
                      3,                 1.2816,                 1.4717,                 1.1773,                0.51052,                 0.5763,                0.54325,                0.37599,                 1.2213,                 2.1604,                 1.2299,               0.001588,               0.001588,               0.001588
                      4,                 1.2298,                  1.397,                  1.156,                 0.6005,                0.61272,                0.61333,                0.41423,                 1.1641,                  1.579,                 1.2045,               0.001568,               0.001568,               0.001568
                      5,                 1.1722,                 1.3101,                 1.1268,                0.61574,                0.64945,                0.67111,                0.48027,                 1.1287,                 1.9681,                 1.1893,               0.001568,               0.001568,               0.001568
                      6,                 1.1522,                 1.2043,                 1.0917,                0.64734,                0.64927,                0.66414,                0.46448,                 1.1106,                 1.6248,                 1.1676,               0.001535,               0.001535,               0.001535
                      7,                 1.1299,                 1.1741,                 1.0988,                 0.6827,                0.67165,                0.70472,                0.50107,                 1.0588,                 1.4529,                 1.1443,               0.001502,               0.001502,               0.001502
                      8,                 1.1145,                 1.1484,                  1.095,                0.72183,                0.68118,                0.74301,                0.52296,                 1.0924,                  1.086,                 1.1521,               0.001469,               0.001469,               0.001469
                      9,                 1.0784,                 1.0811,                 1.0743,                0.70802,                 0.6884,                 0.7333,                0.54104,                0.96968,                 1.1062,                 1.1141,               0.001436,               0.001436,               0.001436
                     10,                 1.0481,                 1.1336,                  1.064,                0.67262,                0.70352,                0.74073,                0.54822,                 1.0108,                 1.2591,                 1.1515,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.0438,                  1.031,                 1.0624,                0.74861,                0.71203,                0.77063,                0.57514,                0.98707,                0.98682,                  1.116,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.0696,                 1.0803,                 1.0941,                0.73018,                0.73864,                0.77193,                0.57865,                0.99118,                0.95931,                 1.1218,              0.0013369,              0.0013369,              0.0013369
                     13,                0.99856,                0.96735,                 1.0446,                0.75923,                0.73864,                0.79487,                0.59416,                0.94049,                 1.0172,                 1.0935,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.0079,                0.97727,                 1.0404,                0.74589,                0.74053,                0.77091,                0.56983,                0.96506,                  1.036,                  1.126,              0.0012709,              0.0012709,              0.0012709
                     15,                0.98262,                0.95312,                 1.0345,                0.75285,                0.73046,                 0.7903,                0.60943,                0.91208,                0.92584,                 1.1069,              0.0012379,              0.0012379,              0.0012379
                     16,                0.96995,                0.92691,                 1.0333,                0.76858,                0.76078,                0.80386,                0.61749,                0.89004,                0.96802,                 1.0661,              0.0012049,              0.0012049,              0.0012049
                     17,                0.97964,                0.91177,                   1.03,                0.75468,                0.75621,                0.78411,                0.60379,                0.89267,                0.88871,                 1.0601,              0.0011719,              0.0011719,              0.0011719
                     18,                0.95792,                0.90857,                 1.0216,                0.76133,                0.76302,                0.80952,                0.62151,                0.90511,                0.93576,                 1.0573,              0.0011389,              0.0011389,              0.0011389
                     19,                0.94589,                0.85465,                 1.0196,                  0.787,                0.75073,                0.80732,                0.62114,                0.90701,                0.84402,                 1.0696,              0.0011059,              0.0011059,              0.0011059
                     20,                0.93869,                0.85169,                 1.0216,                0.76385,                0.75563,                0.80879,                0.62012,                0.91122,                0.92563,                 1.0782,              0.0010729,              0.0010729,              0.0010729
                     21,                0.94808,                0.85218,                 1.0141,                0.77546,                0.76363,                0.81341,                0.63374,                0.87845,                0.86002,                 1.0595,              0.0010399,              0.0010399,              0.0010399
                     22,                0.92318,                0.82361,                 1.0058,                0.81644,                0.72964,                0.80501,                0.62903,                0.88287,                0.83351,                 1.0539,              0.0010069,              0.0010069,              0.0010069
                     23,                0.91706,                0.82569,                 1.0212,                0.82445,                 0.7551,                0.83508,                0.64609,                0.87237,                0.77504,                 1.0568,             0.00097386,             0.00097386,             0.00097386
                     24,                0.90227,                0.82014,                 0.9922,                0.80929,                 0.7454,                0.83022,                0.64769,                0.83671,                0.78492,                  1.043,             0.00094085,             0.00094085,             0.00094085
                     25,                0.91141,                0.84554,                 1.0044,                0.78225,                0.76874,                0.82289,                0.63901,                0.86777,                0.85286,                 1.0371,             0.00090785,             0.00090785,             0.00090785
                     26,                0.87861,                0.77182,                0.98301,                0.80121,                0.75857,                0.82395,                0.64286,                0.86016,                0.79099,                 1.0381,             0.00087484,             0.00087484,             0.00087484
                     27,                0.87004,                  0.777,                0.99157,                 0.7963,                 0.7578,                0.82094,                0.64094,                0.84981,                0.81526,                 1.0374,             0.00084184,             0.00084184,             0.00084184
                     28,                0.86672,                0.75944,                0.97505,                0.80944,                0.76197,                0.83722,                0.65757,                0.81626,                0.80574,                 1.0278,             0.00080883,             0.00080883,             0.00080883
                     29,                0.87802,                0.77567,                0.98985,                0.79908,                0.75289,                0.83121,                0.65888,                 0.8469,                0.81968,                 1.0398,             0.00077582,             0.00077582,             0.00077582
                     30,                0.86127,                 0.7383,                0.98865,                0.81514,                0.75873,                 0.8321,                0.65812,                0.83008,                0.75488,                 1.0215,             0.00074282,             0.00074282,             0.00074282
                     31,                0.85678,                0.74705,                0.97502,                0.84274,                0.74144,                0.83729,                0.66478,                0.84085,                0.76606,                 1.0282,             0.00070981,             0.00070981,             0.00070981
