                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9584,                 3.6544,                 1.5707,                0.01413,                0.57227,                 0.2267,                0.13704,                 1.2732,                 3.2509,                  1.337,               0.070732,               0.003252,               0.003252
                      2,                 1.4539,                 2.3782,                 1.2881,                0.69353,                0.24254,                0.48134,                0.30409,                 1.1646,                 2.6183,                 1.2067,               0.040667,              0.0065202,              0.0065202
                      3,                 1.4434,                 1.9946,                  1.237,                0.53654,                0.53904,                0.53215,                 0.3078,                 1.3119,                 2.2845,                 1.2948,               0.010535,              0.0097223,              0.0097223
                      4,                 1.3888,                 1.8951,                 1.1999,                0.60209,                0.61916,                0.61251,                0.38957,                 1.2482,                 2.0495,                 1.2021,               0.009703,               0.009703,               0.009703
                      5,                 1.3212,                  1.709,                 1.1483,                 0.5746,                0.63394,                0.61342,                0.39799,                 1.1725,                 1.6297,                 1.1611,               0.009703,               0.009703,               0.009703
                      6,                 1.2905,                 1.5852,                 1.1183,                0.59694,                0.62107,                0.62593,                0.42711,                 1.1559,                 1.5594,                 1.1078,               0.009604,               0.009604,               0.009604
                      7,                 1.2259,                 1.5545,                 1.1034,                0.65861,                0.63879,                0.67345,                0.46162,                 1.0859,                 1.4218,                 1.1032,               0.009505,               0.009505,               0.009505
                      8,                  1.247,                 1.4757,                 1.1081,                0.62874,                0.65627,                0.66632,                0.47269,                 1.0496,                 1.4862,                 1.0765,               0.009406,               0.009406,               0.009406
                      9,                 1.2023,                  1.387,                 1.0836,                0.66821,                0.70694,                0.71428,                0.50176,                 1.0697,                 1.3115,                 1.0754,               0.009307,               0.009307,               0.009307
                     10,                 1.1771,                 1.4481,                 1.0773,                0.70209,                0.65107,                0.69804,                0.49258,                 1.0393,                 1.3212,                  1.084,               0.009208,               0.009208,               0.009208
                     11,                 1.1562,                 1.3098,                 1.0618,                0.68463,                0.65781,                0.69082,                0.50231,                0.99969,                 1.3058,                 1.0637,               0.009109,               0.009109,               0.009109
                     12,                 1.1806,                 1.3678,                 1.0828,                 0.7305,                0.68572,                0.73096,                0.52295,                 1.0526,                  1.222,                 1.0711,                0.00901,                0.00901,                0.00901
                     13,                 1.1279,                 1.2276,                 1.0432,                0.67784,                0.71681,                0.72755,                0.53086,                 1.0196,                 1.3584,                  1.063,               0.008911,               0.008911,               0.008911
                     14,                 1.1308,                 1.2336,                 1.0441,                0.69411,                0.69578,                0.73274,                0.53322,                0.99727,                 1.3543,                 1.0499,               0.008812,               0.008812,               0.008812
                     15,                 1.0996,                 1.2164,                 1.0394,                0.72724,                0.69768,                0.75675,                0.54094,                 1.0228,                 1.1167,                 1.0644,               0.008713,               0.008713,               0.008713
                     16,                 1.0728,                 1.1592,                 1.0287,                0.72221,                0.69114,                0.74957,                0.54457,                 1.0202,                 1.1259,                 1.0633,               0.008614,               0.008614,               0.008614
                     17,                 1.0927,                 1.1543,                 1.0271,                0.71724,                  0.727,                 0.7721,                0.58189,                0.91887,                  1.154,                 1.0279,               0.008515,               0.008515,               0.008515
                     18,                 1.0617,                 1.1416,                 1.0225,                0.72731,                0.71413,                0.76743,                0.57371,                0.93684,                 1.1082,                 1.0293,               0.008416,               0.008416,               0.008416
                     19,                 1.0531,                 1.0869,                 1.0111,                0.76127,                0.72609,                0.77937,                 0.5735,                0.95912,                 1.0446,                 1.0419,               0.008317,               0.008317,               0.008317
                     20,                 1.0456,                 1.0953,                 1.0217,                0.78397,                0.68277,                  0.781,                0.58536,                0.92244,                 1.0246,                 1.0222,               0.008218,               0.008218,               0.008218
                     21,                 1.0589,                 1.0952,                 1.0126,                0.74513,                0.72663,                0.77822,                0.57993,                0.91896,                 1.1217,                 1.0071,               0.008119,               0.008119,               0.008119
