                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77871,                 0.6289,                0.91299,                0.82157,                0.78055,                 0.8533,                0.68278,                0.78729,                0.75996,                0.95712,                0.06748,              3.252e-07,              3.252e-07
                      2,                0.76135,                0.60438,                0.90623,                0.82024,                0.79414,                0.85687,                 0.6921,                 0.7663,                 0.7321,                0.95077,               0.034147,             6.5195e-07,             6.5195e-07
                      3,                 0.7594,                0.58893,                0.90163,                0.82794,                0.78938,                0.86094,                 0.6952,                0.75834,                0.72718,                0.94752,             0.00081398,             9.7203e-07,             9.7203e-07
                      4,                0.75883,                0.59525,                0.90426,                 0.8256,                0.79481,                0.86216,                0.69841,                0.75713,                0.72078,                0.94753,                9.7e-07,                9.7e-07,                9.7e-07
                      5,                0.75595,                0.60664,                0.90152,                0.82891,                0.79144,                0.86188,                 0.6993,                0.75648,                0.71952,                0.94639,                9.7e-07,                9.7e-07,                9.7e-07
                      6,                0.75097,                0.59933,                0.89508,                 0.8248,                0.79747,                0.86176,                0.69786,                0.75557,                0.71988,                0.94653,                9.6e-07,                9.6e-07,                9.6e-07
                      7,                0.75357,                0.59852,                0.90325,                0.82561,                0.79081,                0.86043,                0.69701,                0.75699,                0.72058,                0.94713,                9.5e-07,                9.5e-07,                9.5e-07
                      8,                0.76689,                0.60253,                0.90566,                0.82765,                0.78764,                0.86101,                0.69818,                0.75717,                0.72033,                0.94732,                9.4e-07,                9.4e-07,                9.4e-07
                      9,                0.74522,                0.58721,                0.89965,                0.82414,                0.79072,                 0.8608,                0.69802,                0.75718,                0.72028,                0.94727,                9.3e-07,                9.3e-07,                9.3e-07
                     10,                0.76122,                0.61436,                0.91141,                0.82554,                0.79064,                0.86135,                0.69766,                0.75658,                0.71966,                0.94739,                9.2e-07,                9.2e-07,                9.2e-07
