                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9584,                 3.6544,                 1.5707,                0.01413,                0.57227,                 0.2267,                0.13704,                 1.2732,                 3.2509,                  1.337,               0.070732,               0.003252,               0.003252
                      2,                 1.4504,                 2.3775,                 1.2866,                0.74895,                0.18297,                0.46055,                0.29212,                 1.1598,                 2.6942,                 1.2219,               0.040601,               0.006455,               0.006455
                      3,                 1.4438,                 1.9979,                 1.2386,                0.50739,                0.61159,                0.53687,                 0.3414,                 1.2471,                 2.2006,                 1.2367,               0.010339,              0.0095259,              0.0095259
                      4,                 1.3893,                 1.8718,                 1.1987,                 0.5452,                0.62377,                0.58124,                0.36339,                  1.271,                 1.9126,                 1.2082,               0.009406,               0.009406,               0.009406
                      5,                  1.312,                 1.7032,                 1.1413,                0.62358,                0.61574,                   0.64,                0.42686,                 1.1433,                 1.6323,                 1.1303,               0.009406,               0.009406,               0.009406
                      6,                 1.2851,                 1.5847,                 1.1162,                0.59647,                0.61941,                 0.6177,                0.42356,                 1.1054,                 1.6178,                 1.1011,               0.009208,               0.009208,               0.009208
                      7,                 1.2238,                  1.533,                 1.0965,                0.64499,                0.63012,                0.66598,                0.45289,                 1.1405,                 1.4287,                 1.1138,                0.00901,                0.00901,                0.00901
                      8,                 1.2069,                 1.4559,                 1.0832,                0.68797,                0.67739,                0.71006,                 0.4945,                 1.0896,                 1.4217,                 1.0923,               0.008812,               0.008812,               0.008812
                      9,                 1.1958,                 1.3867,                  1.077,                0.66319,                0.66517,                0.69931,                0.49125,                 1.0938,                 1.3956,                 1.0861,               0.008614,               0.008614,               0.008614
                     10,                 1.1806,                  1.396,                 1.0718,                0.66698,                0.67844,                 0.7167,                0.51763,                  1.034,                 1.3082,                 1.0749,               0.008416,               0.008416,               0.008416
                     11,                 1.1247,                 1.2925,                 1.0428,                0.64989,                0.68001,                0.69496,                0.50721,                0.98145,                 1.3045,                 1.0477,               0.008218,               0.008218,               0.008218
                     12,                 1.1544,                 1.3283,                 1.0681,                0.68866,                 0.7258,                0.74902,                0.54886,                0.94766,                 1.1938,                 1.0201,                0.00802,                0.00802,                0.00802
                     13,                 1.1029,                 1.2108,                 1.0338,                0.72462,                0.69901,                0.73375,                0.53944,                 1.0192,                 1.2115,                 1.0477,               0.007822,               0.007822,               0.007822
