                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1428,                  3.515,                  1.698,                0.26799,                0.35753,                   0.22,                0.11888,                 1.4155,                 5.9854,                 1.4066,               0.070732,               0.003252,               0.003252
                      2,                 1.4111,                 2.0664,                 1.2707,                 0.4771,                0.49309,                0.47205,                0.30466,                  1.197,                 3.0704,                 1.2588,               0.040667,              0.0065202,              0.0065202
                      3,                 1.3293,                 1.7044,                 1.1819,                0.51249,                0.58526,                0.59601,                0.39022,                 1.1853,                 2.1888,                 1.2202,               0.010535,              0.0097223,              0.0097223
                      4,                  1.268,                 1.6359,                 1.1429,                0.55173,                0.62535,                0.62909,                 0.3887,                 1.3216,                 2.6608,                 1.2743,               0.009703,               0.009703,               0.009703
                      5,                 1.2587,                 1.3936,                 1.1165,                0.64387,                0.67691,                0.69059,                0.47821,                 1.1571,                 2.1901,                 1.1813,               0.009703,               0.009703,               0.009703
                      6,                 1.2193,                 1.2369,                  1.083,                0.63817,                0.69262,                 0.7053,                0.50339,                 1.0873,                 1.7736,                 1.1471,               0.009604,               0.009604,               0.009604
                      7,                 1.1471,                 1.2197,                 1.0614,                0.69493,                0.66708,                0.70977,                0.51707,                 1.1136,                  1.651,                 1.1757,               0.009505,               0.009505,               0.009505
                      8,                 1.1205,                 1.1676,                 1.0535,                0.76922,                0.69809,                0.76845,                0.55624,                 1.0579,                 1.3829,                 1.1336,               0.009406,               0.009406,               0.009406
                      9,                 1.1166,                 1.0804,                  1.044,                 0.7169,                0.67785,                0.74245,                0.54429,                 1.0285,                 1.4938,                 1.1178,               0.009307,               0.009307,               0.009307
                     10,                 1.0928,                 1.1506,                 1.0382,                0.72692,                0.70387,                 0.7547,                0.55166,                 1.1581,                 1.4636,                  1.256,               0.009208,               0.009208,               0.009208
                     11,                 1.0553,                 0.9886,                 1.0172,                0.74608,                0.70316,                0.76982,                0.57553,                0.98335,                 1.3917,                 1.1248,               0.009109,               0.009109,               0.009109
                     12,                 1.0949,                  1.064,                 1.0518,                0.74247,                0.73414,                0.78402,                0.58572,                0.96097,                 1.3491,                 1.0847,                0.00901,                0.00901,                0.00901
                     13,                 1.0268,                0.95367,                 1.0081,                0.72055,                0.77513,                0.80535,                0.61157,                0.95044,                 1.1699,                 1.0652,               0.008911,               0.008911,               0.008911
                     14,                 1.0451,                0.94955,                 1.0138,                0.74951,                 0.7587,                0.79831,                0.59852,                 1.1672,                 1.4194,                 1.2209,               0.008812,               0.008812,               0.008812
                     15,                 1.0103,                0.93247,                 1.0065,                0.76632,                0.74196,                0.79688,                0.60625,                 1.0262,                 1.4474,                 1.1578,               0.008713,               0.008713,               0.008713
                     16,                0.98146,                0.88896,                0.99675,                0.77121,                0.77304,                0.82062,                0.62373,                0.93195,                 1.2027,                 1.0979,               0.008614,               0.008614,               0.008614
                     17,                0.98264,                0.89784,                0.99332,                0.75841,                0.75826,                0.80512,                0.61691,                 1.0723,                 1.2029,                 1.1776,               0.008515,               0.008515,               0.008515
                     18,                0.98119,                0.87557,                0.99296,                0.78067,                0.77488,                0.81538,                0.61399,                 1.0315,                 1.2423,                 1.1328,               0.008416,               0.008416,               0.008416
                     19,                0.95904,                0.84718,                0.98863,                0.78639,                0.77134,                0.83081,                0.63517,                 1.0304,                 1.1937,                 1.1403,               0.008317,               0.008317,               0.008317
                     20,                0.94131,                0.83516,                0.98767,                0.80617,                0.73574,                0.82914,                0.63428,                0.99452,                 1.2437,                 1.1271,               0.008218,               0.008218,               0.008218
                     21,                  0.961,                0.84716,                0.98427,                0.78128,                0.74561,                0.80765,                0.62653,                0.89244,                 1.4337,                 1.0718,               0.008119,               0.008119,               0.008119
                     22,                0.94904,                 0.8237,                 0.9812,                0.78553,                0.75816,                0.81909,                0.62539,                0.85051,                 1.1761,                 1.0533,                0.00802,                0.00802,                0.00802
                     23,                 0.9149,                0.82209,                0.97622,                 0.8276,                0.73951,                0.83355,                0.64796,                 0.8339,                 1.1819,                 1.0416,               0.007921,               0.007921,               0.007921
                     24,                0.92443,                0.81475,                0.96499,                 0.8206,                0.75252,                0.83815,                0.65804,                0.88351,                 1.2021,                 1.0687,               0.007822,               0.007822,               0.007822
                     25,                0.92341,                 0.8296,                0.97664,                0.78385,                 0.7804,                0.82459,                  0.631,                0.99081,                 1.3386,                 1.1121,               0.007723,               0.007723,               0.007723
                     26,                 0.8966,                0.77464,                0.96041,                0.79323,                0.76507,                 0.8194,                 0.6394,                0.92596,                 1.2134,                 1.0941,               0.007624,               0.007624,               0.007624
                     27,                0.90706,                 0.7753,                0.96586,                 0.7961,                0.77358,                0.81729,                0.63398,                0.86456,                 1.1703,                 1.0553,               0.007525,               0.007525,               0.007525
                     28,                0.89749,                0.76969,                0.94939,                 0.7955,                0.75361,                0.82234,                 0.6373,                0.90294,                  1.409,                 1.0662,               0.007426,               0.007426,               0.007426
                     29,                 0.9154,                0.78499,                0.96448,                0.81782,                 0.7606,                0.83765,                 0.6593,                 0.9993,                  1.378,                 1.1207,               0.007327,               0.007327,               0.007327
                     30,                0.88559,                0.72863,                0.95814,                0.80247,                0.75695,                0.82082,                0.64206,                 0.9197,                 1.3032,                 1.0908,               0.007228,               0.007228,               0.007228
                     31,                0.87724,                 0.7387,                0.94756,                0.78915,                0.77468,                0.83091,                0.65115,                0.92038,                  1.331,                 1.0829,               0.007129,               0.007129,               0.007129
                     32,                0.87254,                0.73513,                0.95613,                0.80846,                0.75859,                0.82257,                 0.6484,                0.91842,                  1.132,                  1.086,                0.00703,                0.00703,                0.00703
                     33,                0.85935,                0.71268,                0.95045,                0.79996,                0.77754,                0.82802,                0.65628,                0.90826,                 1.0584,                 1.0836,               0.006931,               0.006931,               0.006931
                     34,                0.85055,                0.70377,                0.94316,                0.80465,                0.77541,                0.82422,                0.65182,                0.98094,                 1.1362,                 1.1216,               0.006832,               0.006832,               0.006832
                     35,                0.86991,                 0.6988,                0.95273,                0.82459,                0.75458,                0.83016,                0.65721,                  1.009,                 1.4997,                 1.1765,               0.006733,               0.006733,               0.006733
                     36,                0.84168,                0.70225,                0.94616,                 0.8093,                0.78823,                0.83901,                0.66283,                0.97279,                 1.5752,                  1.127,               0.006634,               0.006634,               0.006634
                     37,                0.86145,                0.69585,                0.95207,                0.84162,                0.75959,                0.83833,                0.66248,                 1.0188,                 1.5461,                 1.1522,               0.006535,               0.006535,               0.006535
                     38,                0.83535,                0.67534,                 0.9482,                0.78652,                  0.784,                0.83277,                0.66421,                0.99004,                 1.6628,                 1.1602,               0.006436,               0.006436,               0.006436
                     39,                0.83756,                 0.6812,                0.94171,                0.80876,                  0.776,                0.84491,                0.66098,                0.95932,                 1.5403,                 1.1227,               0.006337,               0.006337,               0.006337
                     40,                0.82841,                0.66911,                0.93505,                0.79701,                0.78763,                0.84441,                0.66861,                 0.8819,                 1.3466,                 1.0846,               0.006238,               0.006238,               0.006238
                     41,                0.82735,                 0.6677,                0.93932,                0.81324,                0.78731,                0.84408,                0.66852,                 0.9613,                  1.302,                 1.1678,               0.006139,               0.006139,               0.006139
                     42,                0.81776,                0.64072,                0.92735,                0.78908,                0.79112,                0.83634,                0.66504,                0.88586,                 1.2468,                 1.0663,                0.00604,                0.00604,                0.00604
                     43,                0.81914,                0.65668,                0.92625,                0.83529,                0.73834,                0.82194,                0.64352,                0.96318,                  1.616,                 1.1216,               0.005941,               0.005941,               0.005941
                     44,                0.82813,                0.68937,                0.93723,                 0.8096,                0.77287,                0.83785,                0.66728,                0.89086,                 1.4478,                 1.0833,               0.005842,               0.005842,               0.005842
                     45,                0.82171,                0.65086,                0.93901,                0.80898,                0.78047,                0.83256,                0.66133,                0.85294,                 1.3582,                 1.0769,               0.005743,               0.005743,               0.005743
                     46,                 0.7977,                0.61489,                 0.9209,                0.80794,                0.79446,                0.84115,                0.66953,                 1.1066,                 1.3251,                 1.2194,               0.005644,               0.005644,               0.005644
                     47,                0.83141,                0.68601,                0.93323,                0.82454,                0.77891,                0.84264,                0.67291,                 1.0311,                 1.3716,                 1.1791,               0.005545,               0.005545,               0.005545
                     48,                0.79589,                0.61373,                0.92599,                0.81756,                0.79536,                0.84226,                0.67344,                0.97423,                 1.3542,                 1.1708,               0.005446,               0.005446,               0.005446
                     49,                0.78413,                0.62048,                0.92707,                0.81442,                0.77733,                 0.8398,                0.67215,                0.95784,                 1.5113,                 1.1111,               0.005347,               0.005347,               0.005347
                     50,                0.78916,                0.60039,                0.92019,                0.84541,                0.74562,                0.84342,                0.68341,                0.94952,                 1.7562,                 1.1275,               0.005248,               0.005248,               0.005248
                     51,                0.79075,                 0.6072,                0.91204,                0.82699,                0.74934,                0.83406,                0.66418,                0.98655,                  1.744,                 1.1475,               0.005149,               0.005149,               0.005149
                     52,                0.77785,                0.58708,                0.91903,                0.81484,                0.77801,                0.84192,                  0.668,                0.99132,                 1.6494,                 1.1626,                0.00505,                0.00505,                0.00505
                     53,                0.77188,                0.59442,                0.91528,                0.84958,                0.75803,                0.84532,                 0.6714,                 1.0216,                 1.5774,                 1.1758,               0.004951,               0.004951,               0.004951
                     54,                0.76973,                0.57803,                0.92273,                0.82829,                 0.7756,                0.84546,                0.67778,                0.95615,                 1.3979,                 1.1409,               0.004852,               0.004852,               0.004852
                     55,                0.77187,                0.57557,                0.91142,                0.80054,                0.80627,                0.84599,                0.67974,                 1.0187,                 1.3716,                  1.216,               0.004753,               0.004753,               0.004753
                     56,                0.75591,                0.56365,                0.90075,                 0.8132,                0.78683,                0.84065,                0.67321,                0.98451,                 1.3386,                 1.2145,               0.004654,               0.004654,               0.004654
                     57,                0.76378,                0.59362,                0.91521,                0.84172,                 0.7555,                0.84038,                0.67491,                 0.9788,                 1.2474,                 1.1859,               0.004555,               0.004555,               0.004555
