                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1428,                  3.515,                  1.698,                0.26799,                0.35753,                   0.22,                0.11888,                 1.4155,                 5.9854,                 1.4066,               0.070732,               0.003252,               0.003252
                      2,                 1.4078,                  2.036,                  1.267,                0.49838,                0.56532,                0.54582,                0.35985,                 1.1579,                 2.7248,                 1.2407,               0.040688,              0.0065419,              0.0065419
                      3,                 1.3175,                 1.7288,                 1.1734,                0.54945,                 0.5718,                 0.5574,                0.35477,                 1.2781,                 2.6488,                  1.265,               0.010601,              0.0097878,              0.0097878
                      4,                 1.2552,                 1.6216,                 1.1423,                0.62528,                0.61095,                0.63779,                0.42618,                 1.1907,                 1.9404,                 1.2451,               0.009802,               0.009802,               0.009802
                      5,                 1.2638,                 1.3858,                 1.1147,                0.67189,                0.67053,                0.69469,                0.47605,                 1.1697,                  1.874,                 1.2059,               0.009802,               0.009802,               0.009802
                      6,                 1.1572,                 1.2874,                 1.0604,                 0.6548,                0.68428,                0.70008,                0.50038,                 1.0868,                 2.0527,                 1.1575,               0.009736,               0.009736,               0.009736
                      7,                 1.1706,                 1.2011,                  1.074,                0.71378,                0.68408,                0.73669,                0.53016,                 1.0145,                  1.478,                  1.118,                0.00967,                0.00967,                0.00967
                      8,                 1.1454,                 1.1492,                 1.0618,                0.70535,                0.68658,                0.72886,                0.52595,                 1.0729,                 1.3759,                 1.1451,               0.009604,               0.009604,               0.009604
                      9,                 1.1183,                 1.0772,                  1.047,                0.71827,                0.72132,                 0.7707,                0.55822,                 1.0846,                 1.2638,                 1.1291,               0.009538,               0.009538,               0.009538
                     10,                 1.0835,                 1.1548,                 1.0319,                0.72939,                0.72861,                0.77526,                  0.577,                0.98802,                 1.3565,                 1.1027,               0.009472,               0.009472,               0.009472
                     11,                 1.0729,                 1.0165,                 1.0279,                0.73154,                0.68056,                 0.7371,                0.54809,                  0.979,                 1.3672,                 1.1047,               0.009406,               0.009406,               0.009406
                     12,                 1.0889,                 1.0723,                 1.0427,                0.68412,                0.76284,                0.77008,                0.57233,                0.97845,                 1.3799,                  1.077,                0.00934,                0.00934,                0.00934
                     13,                 1.0498,                0.96434,                 1.0082,                0.76109,                 0.7307,                0.79373,                0.59052,                0.94608,                 1.4118,                 1.0629,               0.009274,               0.009274,               0.009274
                     14,                 1.0524,                0.95484,                 1.0138,                 0.7824,                0.74229,                0.80336,                0.59663,                0.99002,                 1.4316,                 1.1067,               0.009208,               0.009208,               0.009208
                     15,                 1.0272,                 0.9207,                 1.0062,                0.75833,                0.75566,                0.81141,                0.61463,                0.96455,                 1.3191,                 1.0723,               0.009142,               0.009142,               0.009142
                     16,                0.98858,                0.89523,                0.99527,                 0.7653,                 0.7691,                 0.7966,                0.60706,                0.88707,                 1.1907,                 1.0507,               0.009076,               0.009076,               0.009076
                     17,                  1.013,                0.90792,                0.99672,                0.77376,                0.77761,                0.82063,                0.63441,                0.91214,                 1.0873,                 1.0533,                0.00901,                0.00901,                0.00901
                     18,                0.99047,                0.89241,                0.98763,                0.77104,                0.76422,                0.81807,                0.63121,                0.90797,                 1.1976,                 1.0553,               0.008944,               0.008944,               0.008944
                     19,                0.97718,                0.85594,                0.98841,                0.81712,                0.74503,                0.82822,                0.63493,                 1.0174,                  1.248,                 1.1219,               0.008878,               0.008878,               0.008878
                     20,                0.95623,                0.85142,                0.98724,                0.81143,                 0.7518,                0.82847,                0.63519,                0.95159,                 1.3555,                 1.1075,               0.008812,               0.008812,               0.008812
                     21,                0.97005,                0.85783,                0.98484,                0.78436,                0.75894,                0.81194,                0.62623,                0.90713,                 1.3287,                 1.0723,               0.008746,               0.008746,               0.008746
                     22,                0.94955,                0.82283,                0.97885,                 0.7888,                 0.7517,                0.80852,                0.62104,                0.95649,                 1.1817,                  1.102,                0.00868,                0.00868,                0.00868
                     23,                0.93099,                0.83686,                0.98088,                0.80517,                0.74862,                0.82269,                0.63999,                0.95966,                 1.3925,                  1.108,               0.008614,               0.008614,               0.008614
                     24,                0.93007,                0.82455,                0.96759,                0.80778,                0.74937,                0.82475,                0.63526,                0.99519,                 1.2623,                 1.1173,               0.008548,               0.008548,               0.008548
                     25,                0.94743,                0.84551,                0.98092,                0.80038,                0.78058,                0.82729,                0.63974,                0.98651,                 1.2761,                  1.115,               0.008482,               0.008482,               0.008482
                     26,                0.92699,                0.78773,                0.96635,                0.77128,                0.78336,                0.81738,                0.63219,                0.92645,                 1.2632,                 1.0692,               0.008416,               0.008416,               0.008416
                     27,                0.90641,                0.78558,                0.96722,                0.80233,                0.76395,                0.83053,                0.64407,                0.94437,                 1.4951,                 1.0809,                0.00835,                0.00835,                0.00835
                     28,                0.91898,                0.77188,                0.95392,                0.78171,                0.76741,                0.82594,                0.64099,                 0.9344,                 1.2787,                 1.0789,               0.008284,               0.008284,               0.008284
                     29,                0.91742,                0.78115,                0.96269,                0.78157,                0.77368,                0.82614,                 0.6459,                0.93361,                 1.2861,                 1.0889,               0.008218,               0.008218,               0.008218
                     30,                0.89345,                 0.7493,                 0.9612,                0.77502,                0.78133,                0.82528,                0.65063,                 0.9111,                 1.2383,                 1.0787,               0.008152,               0.008152,               0.008152
                     31,                 0.8962,                 0.7476,                0.95512,                0.77903,                0.78516,                0.83303,                 0.6486,                 1.0105,                 1.4004,                 1.1785,               0.008086,               0.008086,               0.008086
                     32,                0.88417,                0.74272,                0.95934,                0.79364,                 0.7616,                0.83155,                0.64486,                0.93775,                 1.0803,                 1.0868,                0.00802,                0.00802,                0.00802
                     33,                0.87798,                0.72354,                0.95066,                0.81537,                0.77135,                0.84061,                0.65669,                0.92837,                0.97632,                 1.0799,               0.007954,               0.007954,               0.007954
