                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1428,                  3.515,                  1.698,                0.26799,                0.35753,                   0.22,                0.11888,                 1.4155,                 5.9854,                 1.4066,               0.070732,               0.003252,               0.003252
                      2,                 1.3965,                 1.9983,                 1.2587,                0.47222,                0.54963,                0.53135,                0.35793,                 1.1704,                 2.7168,                 1.2282,               0.040601,               0.006455,               0.006455
                      3,                  1.335,                 1.6776,                  1.178,                0.57646,                0.57187,                0.58292,                0.38699,                 1.2014,                 2.0737,                 1.2132,               0.010339,              0.0095259,              0.0095259
                      4,                 1.2672,                 1.6326,                 1.1473,                0.65406,                0.60263,                0.65201,                0.42717,                 1.2241,                 2.5025,                 1.2006,               0.009406,               0.009406,               0.009406
                      5,                 1.2456,                 1.3618,                 1.1106,                0.64837,                0.68068,                0.70519,                 0.4961,                  1.113,                 1.7633,                 1.1849,               0.009406,               0.009406,               0.009406
                      6,                 1.1938,                 1.2399,                 1.0725,                0.70354,                0.67028,                0.72802,                0.52025,                 1.0867,                 1.6647,                 1.1493,               0.009208,               0.009208,               0.009208
                      7,                 1.1503,                 1.1807,                 1.0605,                0.67697,                0.73238,                0.74376,                0.55047,                 1.0324,                 1.4083,                  1.107,                0.00901,                0.00901,                0.00901
                      8,                 1.0999,                 1.1567,                 1.0468,                0.75449,                0.70341,                0.75437,                0.55566,                0.97703,                 1.2824,                 1.0704,               0.008812,               0.008812,               0.008812
                      9,                 1.0884,                 1.0612,                 1.0415,                0.73299,                0.72149,                0.76252,                0.56269,                0.97401,                 1.3286,                  1.112,               0.008614,               0.008614,               0.008614
                     10,                 1.0659,                 1.0732,                 1.0277,                0.73094,                0.73796,                0.77978,                0.58744,                0.95263,                 1.3069,                 1.0951,               0.008416,               0.008416,               0.008416
                     11,                 1.0419,                0.98607,                 1.0166,                0.74978,                0.71584,                0.77476,                0.57764,                 1.0518,                 1.2574,                 1.1534,               0.008218,               0.008218,               0.008218
                     12,                 1.0692,                 1.0348,                 1.0394,                0.75448,                0.73468,                0.78383,                0.59841,                0.96163,                 1.3446,                 1.0994,                0.00802,                0.00802,                0.00802
                     13,                0.99266,                0.94074,                0.99731,                0.75808,                0.73896,                0.80383,                0.60724,                0.92919,                  1.199,                 1.0632,               0.007822,               0.007822,               0.007822
                     14,                 1.0243,                0.93013,                 1.0031,                0.75639,                0.72737,                 0.7921,                0.58119,                 1.0459,                 1.3497,                 1.1323,               0.007624,               0.007624,               0.007624
                     15,                0.99284,                0.89848,                0.99548,                0.78167,                0.75257,                0.80449,                0.60879,                0.93581,                 1.5926,                  1.106,               0.007426,               0.007426,               0.007426
                     16,                0.97053,                 0.8631,                0.99274,                0.80433,                0.76063,                0.82472,                0.62422,                 1.0008,                 1.2103,                 1.1216,               0.007228,               0.007228,               0.007228
                     17,                0.96532,                0.86701,                 0.9846,                0.78037,                0.76343,                0.81585,                0.63302,                0.99456,                 1.2078,                 1.1234,                0.00703,                0.00703,                0.00703
                     18,                0.95108,                0.85576,                0.98197,                0.80487,                0.75095,                0.82059,                  0.637,                0.88216,                  1.418,                 1.0787,               0.006832,               0.006832,               0.006832
                     19,                0.94228,                0.81425,                0.97843,                0.79413,                0.78266,                0.83225,                0.64596,                0.87894,                 1.1851,                 1.0675,               0.006634,               0.006634,               0.006634
                     20,                 0.9108,                0.81108,                0.97423,                0.80469,                 0.7742,                0.83882,                0.65466,                0.86536,                 1.4961,                 1.0579,               0.006436,               0.006436,               0.006436
                     21,                0.93583,                0.82538,                0.97149,                0.80742,                0.76491,                0.83042,                0.64814,                 0.8397,                 1.4346,                 1.0504,               0.006238,               0.006238,               0.006238
                     22,                0.91079,                0.78365,                0.96505,                0.83166,                0.74583,                0.82324,                0.64445,                0.87467,                 1.3485,                 1.0627,                0.00604,                0.00604,                0.00604
                     23,                0.87501,                0.79662,                 0.9608,                0.78145,                0.79982,                0.83135,                0.65262,                0.92536,                 1.2061,                 1.0981,               0.005842,               0.005842,               0.005842
                     24,                0.88887,                 0.7726,                0.95346,                0.79036,                0.76717,                0.83576,                0.65377,                 0.8977,                 1.3344,                 1.0818,               0.005644,               0.005644,               0.005644
                     25,                0.89175,                0.79091,                0.96553,                0.79658,                0.77218,                0.82104,                0.64273,                0.98435,                 1.3208,                 1.1478,               0.005446,               0.005446,               0.005446
                     26,                0.87099,                0.74015,                 0.9483,                0.78571,                0.78666,                0.83444,                  0.665,                0.91592,                 1.2694,                  1.076,               0.005248,               0.005248,               0.005248
                     27,                0.85545,                0.73792,                0.94987,                0.81518,                0.77468,                0.84498,                0.66823,                 0.8604,                 1.0339,                 1.0359,                0.00505,                0.00505,                0.00505
                     28,                0.86955,                0.71573,                0.94163,                0.79589,                 0.7923,                0.83915,                0.66473,                0.87576,                 1.3427,                 1.0606,               0.004852,               0.004852,               0.004852
                     29,                0.85467,                0.74704,                0.94284,                 0.7989,                0.76708,                0.82476,                0.65489,                0.86054,                 1.4067,                 1.0738,               0.004654,               0.004654,               0.004654
                     30,                0.83919,                0.68171,                0.94578,                0.80409,                0.74624,                0.81293,                0.64592,                0.90165,                 1.4258,                 1.0806,               0.004456,               0.004456,               0.004456
                     31,                0.83429,                0.69971,                0.93387,                0.79367,                0.78952,                0.84405,                0.67281,                0.89111,                 1.4515,                 1.0878,               0.004258,               0.004258,               0.004258
                     32,                0.82183,                0.67069,                0.94039,                0.81131,                 0.7771,                0.84461,                0.67499,                 0.8327,                0.91782,                  1.029,                0.00406,                0.00406,                0.00406
                     33,                0.80721,                0.64771,                0.93071,                0.81839,                0.79173,                0.84826,                0.67668,                0.85104,                 1.2377,                  1.043,               0.003862,               0.003862,               0.003862
                     34,                0.80046,                0.64516,                0.92596,                0.80666,                0.78947,                0.84543,                0.67628,                0.90293,                 1.1348,                 1.0669,               0.003664,               0.003664,               0.003664
                     35,                0.81153,                0.64007,                0.93119,                0.80775,                0.80463,                 0.8516,                0.68455,                0.84518,                 1.3022,                 1.0455,               0.003466,               0.003466,               0.003466
                     36,                0.80303,                 0.6421,                0.93062,                0.81937,                0.77464,                0.84972,                0.67794,                0.87053,                 1.2839,                 1.0581,               0.003268,               0.003268,               0.003268
                     37,                0.80644,                0.63492,                 0.9324,                0.81651,                0.79119,                0.85111,                0.68329,                0.87161,                 1.2508,                 1.0564,                0.00307,                0.00307,                0.00307
                     38,                0.78265,                0.62894,                0.92994,                 0.8223,                0.79143,                0.85678,                0.68753,                0.84459,                 1.1679,                 1.0527,               0.002872,               0.002872,               0.002872
                     39,                0.78966,                0.62191,                0.92223,                 0.8066,                0.79901,                0.85298,                0.68059,                0.90673,                 1.1958,                 1.0784,               0.002674,               0.002674,               0.002674
                     40,                0.76575,                0.59376,                0.91485,                0.83791,                0.77423,                0.85931,                0.68855,                0.82729,                  1.288,                  1.055,               0.002476,               0.002476,               0.002476
