                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76389,                 0.5832,                0.91733,                0.83478,                0.78674,                0.86017,                0.69947,                0.82191,                 1.1776,                 1.0382,                0.06748,              3.252e-07,              3.252e-07
                      2,                0.74703,                0.55916,                0.90912,                0.81779,                0.80409,                 0.8582,                0.70028,                0.82553,                 1.2616,                 1.0412,               0.034147,             6.5195e-07,             6.5195e-07
                      3,                0.74348,                0.54568,                0.90532,                0.82879,                0.79601,                0.85965,                 0.7014,                0.82909,                 1.2749,                 1.0427,             0.00081398,             9.7203e-07,             9.7203e-07
                      4,                0.74636,                0.54912,                0.90898,                0.82732,                0.79542,                0.86004,                0.70189,                0.82803,                 1.2708,                 1.0395,                9.7e-07,                9.7e-07,                9.7e-07
                      5,                0.73955,                0.55711,                 0.9037,                0.82027,                0.80356,                0.86001,                0.70097,                0.83117,                 1.2881,                 1.0405,                9.7e-07,                9.7e-07,                9.7e-07
                      6,                0.73547,                0.55835,                0.89818,                0.82083,                0.79783,                0.86051,                0.70184,                0.83208,                 1.2823,                 1.0427,                9.6e-07,                9.6e-07,                9.6e-07
                      7,                0.73643,                0.54893,                0.90608,                0.82417,                0.79459,                0.85935,                0.70109,                0.83429,                 1.2835,                  1.045,                9.5e-07,                9.5e-07,                9.5e-07
                      8,                0.74663,                0.55427,                0.90699,                0.82287,                0.79792,                0.85909,                0.70125,                0.82807,                 1.2834,                 1.0425,                9.4e-07,                9.4e-07,                9.4e-07
                      9,                0.72876,                0.53422,                 0.9016,                0.82821,                0.79578,                0.85969,                0.70175,                0.82738,                 1.2931,                 1.0404,                9.3e-07,                9.3e-07,                9.3e-07
                     10,                 0.7369,                0.56276,                0.90818,                0.82752,                0.79721,                0.85986,                0.70213,                0.82911,                 1.2951,                 1.0406,                9.2e-07,                9.2e-07,                9.2e-07
