                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7585,                 3.3152,                 1.4602,                0.00948,                0.60985,                0.01092,                0.00587,                 1.3394,                 3.2626,                  1.253,             0.00065041,             0.00065041,             0.00065041
                      2,                 1.4104,                 2.5529,                 1.2248,                0.21912,                 0.3502,                0.18201,                0.09851,                  1.436,                 3.6547,                 1.3687,               0.001291,               0.001291,               0.001291
                      3,                 1.4097,                 2.1773,                 1.2314,                0.34638,                0.27167,                0.22556,                0.13115,                 1.3752,                 2.4986,                 1.2515,              0.0019052,              0.0019052,              0.0019052
                      4,                 1.3231,                 2.0648,                   1.17,                0.37258,                0.39547,                0.32359,                0.20756,                 1.2201,                 2.8049,                 1.1641,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.2999,                 1.8435,                 1.1622,                0.45568,                0.44811,                0.43103,                0.28054,                 1.2362,                 2.4156,                 1.1895,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.2616,                 1.7817,                 1.1335,                0.57386,                0.45939,                0.49686,                0.33016,                 1.2817,                 1.6441,                 1.2001,              0.0018416,              0.0018416,              0.0018416
                      7,                  1.243,                 1.6404,                 1.1296,                0.46943,                0.45121,                0.44753,                 0.2989,                 1.2088,                 1.8612,                 1.1653,               0.001802,               0.001802,               0.001802
                      8,                 1.2149,                 1.6418,                 1.1297,                0.44081,                0.42876,                 0.3758,                0.24584,                 1.2076,                 2.0499,                 1.1578,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.1862,                 1.5328,                 1.1005,                0.49935,                 0.5526,                0.53986,                0.37685,                 1.0848,                  2.638,                 1.1304,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.1502,                 1.8181,                 1.0805,                0.54298,                0.55659,                0.56254,                0.38429,                 1.1904,                 1.5637,                 1.1371,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.1777,                 1.6045,                 1.0939,                0.61705,                0.55785,                0.59469,                0.41883,                 1.0597,                 1.4059,                 1.0863,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.1447,                 1.4535,                 1.0826,                0.62755,                0.55393,                0.58429,                0.40973,                 1.1078,                 1.4018,                 1.1189,               0.001604,               0.001604,               0.001604
