                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8287,                 3.5926,                 1.5795,                0.01141,                0.73369,                0.01413,                0.00768,                 1.2244,                 3.3613,                 1.2928,               0.070732,               0.003252,               0.003252
                      2,                 1.4359,                 2.8653,                 1.3135,                0.34567,                0.18242,                0.17971,                0.09578,                 1.3351,                 2.7373,                  1.443,               0.040667,              0.0065202,              0.0065202
                      3,                 1.4352,                 2.4657,                  1.297,                0.39147,                0.33822,                0.31222,                0.18064,                 1.3064,                 2.3681,                 1.2995,               0.010535,              0.0097223,              0.0097223
                      4,                  1.372,                 2.2083,                 1.1929,                0.46272,                0.41811,                0.40292,                0.24324,                 1.2609,                 2.1646,                 1.2252,               0.009703,               0.009703,               0.009703
                      5,                  1.333,                 1.9576,                 1.1675,                0.44836,                0.49933,                0.42873,                0.27431,                 1.1579,                  2.503,                  1.124,               0.009703,               0.009703,               0.009703
                      6,                 1.2932,                 1.8699,                 1.1274,                0.42753,                0.40175,                0.35483,                0.20995,                 1.3729,                 2.0487,                 1.1956,               0.009604,               0.009604,               0.009604
                      7,                 1.2757,                 1.7203,                 1.1248,                 0.4536,                0.50333,                 0.4439,                0.28904,                 1.1758,                 1.8804,                 1.1257,               0.009505,               0.009505,               0.009505
                      8,                  1.228,                 1.7277,                 1.1078,                 0.5066,                 0.5086,                 0.4914,                0.33744,                 1.1248,                 2.3412,                 1.1435,               0.009406,               0.009406,               0.009406
                      9,                 1.2116,                 1.5989,                 1.0934,                0.60213,                0.52197,                0.56078,                0.38276,                 1.1115,                 1.6972,                 1.1099,               0.009307,               0.009307,               0.009307
                     10,                 1.1857,                 1.8146,                 1.0605,                0.59868,                0.55222,                0.56867,                 0.3846,                 1.1885,                 1.6218,                 1.1273,               0.009208,               0.009208,               0.009208
                     11,                 1.1774,                  1.577,                 1.0699,                0.58626,                  0.502,                0.54238,                0.35516,                 1.1793,                 1.5441,                 1.1257,               0.009109,               0.009109,               0.009109
                     12,                 1.1622,                 1.5132,                 1.0596,                0.58199,                0.57523,                0.57144,                0.38989,                 1.1034,                 1.8328,                 1.0942,                0.00901,                0.00901,                0.00901
                     13,                 1.2254,                 1.5694,                 1.1102,                 0.5741,                0.48336,                0.52468,                0.36295,                 1.1251,                 1.5836,                 1.1025,               0.008911,               0.008911,               0.008911
                     14,                 1.1441,                  1.446,                 1.0595,                0.58029,                0.53573,                0.57429,                 0.4026,                 1.0571,                 1.7607,                 1.0718,               0.008812,               0.008812,               0.008812
                     15,                  1.125,                 1.4166,                 1.0549,                0.59568,                0.56325,                0.58314,                 0.3983,                 1.1307,                 1.4342,                 1.1052,               0.008713,               0.008713,               0.008713
                     16,                   1.14,                 1.3649,                 1.0499,                  0.673,                0.56727,                0.62856,                0.44293,                 1.1343,                 1.5094,                  1.119,               0.008614,               0.008614,               0.008614
                     17,                 1.1349,                 1.3247,                 1.0536,                0.58678,                0.59654,                0.59592,                0.42725,                 1.0407,                 1.6895,                 1.0615,               0.008515,               0.008515,               0.008515
                     18,                 1.1093,                 1.2976,                 1.0268,                0.54062,                0.54727,                0.54662,                0.38808,                 1.0488,                 1.6861,                 1.0475,               0.008416,               0.008416,               0.008416
                     19,                 1.0834,                 1.2765,                 1.0304,                0.59447,                0.54264,                0.57425,                0.40518,                 1.0485,                  1.481,                 1.0765,               0.008317,               0.008317,               0.008317
                     20,                 1.0746,                 1.2484,                 1.0227,                0.68956,                0.58189,                0.66858,                0.48068,                 1.0491,                 1.4356,                 1.0755,               0.008218,               0.008218,               0.008218
                     21,                 1.0838,                 1.2348,                 1.0286,                 0.6502,                0.60887,                 0.6487,                0.47071,                0.98845,                 1.2746,                 1.0339,               0.008119,               0.008119,               0.008119
                     22,                 1.0823,                 1.2346,                 1.0259,                0.66626,                 0.5928,                0.65062,                0.47257,                 1.0134,                 1.2837,                 1.0417,                0.00802,                0.00802,                0.00802
                     23,                 1.0944,                 1.2711,                 1.0275,                0.59272,                0.58322,                0.60818,                0.44817,                 1.0317,                 1.5962,                 1.0579,               0.007921,               0.007921,               0.007921
                     24,                 1.0579,                  1.181,                 1.0163,                0.66003,                0.63116,                0.67294,                0.48943,                  1.034,                 1.2767,                 1.0722,               0.007822,               0.007822,               0.007822
                     25,                 1.0191,                 1.4539,                0.98703,                0.68668,                0.61284,                0.68739,                0.50166,                0.99848,                 1.2201,                 1.0484,               0.007723,               0.007723,               0.007723
                     26,                 1.0397,                 1.1593,                 1.0164,                0.70835,                0.63064,                0.71892,                0.53716,                0.96989,                 1.1295,                 1.0313,               0.007624,               0.007624,               0.007624
