                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8287,                 3.5926,                 1.5795,                0.01141,                0.73369,                0.01413,                0.00768,                 1.2244,                 3.3613,                 1.2928,               0.070732,               0.003252,               0.003252
                      2,                 1.4494,                 2.8382,                 1.3156,                0.41202,                0.18509,                0.21129,                0.11757,                 1.2816,                 2.7584,                  1.402,               0.040601,               0.006455,               0.006455
                      3,                 1.4281,                 2.3701,                 1.3009,                 0.3817,                0.37816,                0.31298,                0.18332,                 1.3372,                 2.3776,                 1.2774,               0.010339,              0.0095259,              0.0095259
                      4,                 1.3971,                 2.2531,                 1.2015,                0.38828,                0.39414,                0.32034,                0.18509,                 1.3648,                 2.9467,                  1.262,               0.009406,               0.009406,               0.009406
                      5,                 1.3362,                 1.9713,                 1.1624,                 0.4642,                0.46605,                0.41387,                 0.2552,                 1.2513,                 2.2699,                 1.1747,               0.009406,               0.009406,               0.009406
                      6,                 1.2855,                 1.8929,                 1.1235,                0.52514,                0.43675,                0.44244,                0.29601,                 1.1724,                 1.8336,                 1.1439,               0.009208,               0.009208,               0.009208
                      7,                 1.2806,                 1.7297,                 1.1223,                0.46888,                0.44787,                0.41582,                0.28191,                 1.1752,                 1.9085,                 1.1618,                0.00901,                0.00901,                0.00901
                      8,                 1.2238,                 1.7289,                 1.1107,                0.48667,                0.48469,                0.46062,                0.28639,                 1.3509,                 2.0579,                 1.2502,               0.008812,               0.008812,               0.008812
                      9,                 1.2179,                  1.585,                 1.0932,                0.53401,                0.54934,                0.54398,                0.37584,                 1.1239,                 1.5816,                  1.103,               0.008614,               0.008614,               0.008614
                     10,                  1.182,                 1.8558,                 1.0597,                0.55895,                0.53262,                0.55136,                0.36312,                 1.2511,                 1.6186,                 1.1441,               0.008416,               0.008416,               0.008416
                     11,                 1.1505,                 1.5775,                 1.0565,                0.60265,                0.55538,                0.60926,                0.42704,                 1.0703,                 1.3847,                 1.0759,               0.008218,               0.008218,               0.008218
                     12,                 1.1515,                 1.5015,                  1.058,                0.55389,                0.51931,                0.53154,                0.36585,                 1.1202,                  1.952,                 1.0989,                0.00802,                0.00802,                0.00802
