                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8646,                 2.6938,                  1.361,                0.84121,                0.27318,                0.56057,                0.34937,                 1.0481,                 3.5863,                0.88551,             0.00065041,             0.00065041,             0.00065041
                      2,                 1.2218,                 1.4095,                 1.0444,                0.60216,                0.62615,                 0.6276,                0.41724,                0.94295,                 3.7765,                0.87384,               0.001291,               0.001291,               0.001291
                      3,                 1.1588,                 1.6843,                 1.0008,                0.74878,                0.70902,                0.79182,                0.54179,                0.90656,                 1.6009,                0.87177,              0.0019052,              0.0019052,              0.0019052
                      4,                 1.1376,                  1.206,                 1.0276,                0.71464,                0.83057,                0.83729,                0.55027,                0.99069,                  7.478,                0.91785,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.1629,                 1.1334,                 1.0354,                0.79906,                0.77716,                0.85787,                0.59699,                0.83553,                 5.5458,                0.85426,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.0635,                 1.0155,                0.99415,                0.73402,                0.81826,                0.84253,                0.59567,                0.86282,                 2.2298,                0.87561,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.0686,                 1.0114,                 1.0021,                0.80169,                0.79926,                0.88903,                 0.6536,                0.81206,                 2.5748,                0.83719,               0.001802,               0.001802,               0.001802
                      8,                 1.0264,                0.96535,                0.97914,                 0.8279,                0.77532,                0.87423,                0.63685,                0.84074,                 1.0637,                 0.8601,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.0177,                0.92693,                0.98368,                0.80558,                0.80122,                0.88284,                0.65193,                0.80161,                 1.4938,                0.84151,              0.0017228,              0.0017228,              0.0017228
                     10,                0.99827,                0.87713,                0.97093,                0.79483,                0.84346,                0.88726,                0.66284,                0.77573,                0.96923,                0.82918,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.0413,                0.90695,                 1.0164,                0.83034,                0.82689,                0.90001,                0.68031,                0.74898,                 1.8627,                0.81383,              0.0016436,              0.0016436,              0.0016436
                     12,                0.97934,                0.83217,                0.96903,                0.85961,                0.82318,                 0.9214,                0.70278,                0.73391,                  1.369,                0.81045,               0.001604,               0.001604,               0.001604
                     13,                0.97336,                0.83751,                0.96136,                0.84333,                 0.8011,                0.90887,                0.70516,                0.71846,                 1.3362,                0.80638,              0.0015644,              0.0015644,              0.0015644
                     14,                 0.9549,                0.79323,                0.96839,                0.83661,                0.86556,                0.92734,                0.72996,                0.69944,                0.66213,                0.80166,              0.0015248,              0.0015248,              0.0015248
                     15,                0.93627,                0.77519,                0.94884,                0.84708,                0.82689,                0.91208,                0.70953,                0.71242,                 1.0981,                0.80483,              0.0014852,              0.0014852,              0.0014852
                     16,                0.92114,                0.82476,                0.93682,                0.78674,                0.81526,                0.87411,                0.67555,                0.71256,                0.82565,                0.80684,              0.0014456,              0.0014456,              0.0014456
                     17,                0.94318,                0.76025,                0.95943,                0.89266,                0.81175,                0.91931,                 0.6981,                0.74061,                0.71777,                0.81346,               0.001406,               0.001406,               0.001406
                     18,                0.94486,                0.77477,                0.95885,                0.87482,                0.81082,                0.91235,                0.71181,                0.69888,                0.81416,                0.79909,              0.0013664,              0.0013664,              0.0013664
                     19,                0.90586,                0.74012,                0.94697,                0.85713,                0.86176,                0.93338,                0.72772,                0.69626,                0.69056,                0.80618,              0.0013268,              0.0013268,              0.0013268
                     20,                0.89885,                0.71569,                0.94231,                0.86479,                0.84346,                0.92481,                0.72934,                0.70264,                 1.5714,                0.79521,              0.0012872,              0.0012872,              0.0012872
                     21,                0.90316,                 0.7757,                0.94624,                0.85621,                 0.8361,                0.91467,                0.71686,                0.70378,                0.99577,                0.80896,              0.0012476,              0.0012476,              0.0012476
                     22,                0.87348,                0.70556,                0.93209,                0.82928,                0.85878,                0.91944,                0.70586,                0.70981,                0.64494,                0.80551,               0.001208,               0.001208,               0.001208
                     23,                0.87898,                0.67612,                0.94081,                0.83196,                0.86619,                0.92306,                0.73839,                0.66027,                0.57721,                0.78808,              0.0011684,              0.0011684,              0.0011684
                     24,                 0.8442,                0.72559,                0.93775,                 0.8631,                0.83978,                0.92178,                0.73672,                0.66842,                0.82511,                0.79454,              0.0011288,              0.0011288,              0.0011288
                     25,                0.88242,                0.71807,                0.93841,                0.84895,                0.86942,                0.92633,                0.74037,                0.66419,                0.59872,                0.79469,              0.0010892,              0.0010892,              0.0010892
                     26,                0.85032,                0.65597,                0.92359,                0.86853,                0.85635,                0.92859,                0.72952,                0.67504,                0.64311,                0.79552,              0.0010496,              0.0010496,              0.0010496
                     27,                0.87554,                 0.6959,                0.94284,                0.83321,                  0.828,                0.90658,                0.72062,                0.68009,                  1.089,                0.80293,                0.00101,                0.00101,                0.00101
                     28,                0.85885,                0.68436,                 0.9359,                0.86885,                0.85404,                0.92743,                0.72963,                0.69446,                0.58864,                0.80476,              0.0009704,              0.0009704,              0.0009704
                     29,                0.83947,                0.65876,                0.93395,                0.85862,                0.88766,                0.93584,                0.74646,                0.66453,                0.56774,                0.79281,              0.0009308,              0.0009308,              0.0009308
                     30,                0.82814,                0.64606,                0.92984,                0.87147,                0.88658,                0.94247,                0.76424,                0.63121,                0.60686,                0.78349,              0.0008912,              0.0008912,              0.0008912
                     31,                0.81846,                0.63707,                0.92018,                0.89425,                0.87213,                0.93549,                0.75756,                0.63463,                 0.8764,                0.78764,              0.0008516,              0.0008516,              0.0008516
                     32,                0.83479,                0.65089,                0.91676,                0.87089,                0.84473,                 0.9257,                0.74226,                0.65375,                0.63729,                0.79147,               0.000812,               0.000812,               0.000812
                     33,                0.81001,                 0.6244,                0.92476,                0.86078,                 0.8654,                0.92819,                0.73977,                0.65005,                0.76036,                0.79359,              0.0007724,              0.0007724,              0.0007724
                     34,                0.80174,                0.73608,                0.89506,                0.87935,                0.85903,                0.93137,                0.74579,                0.64727,                0.63118,                0.78786,              0.0007328,              0.0007328,              0.0007328
                     35,                0.83293,                0.62497,                0.91911,                 0.8801,                 0.8787,                0.93186,                0.75549,                0.64135,                0.72007,                0.78421,              0.0006932,              0.0006932,              0.0006932
                     36,                0.79973,                0.59746,                0.91074,                0.87419,                0.86372,                0.93466,                0.75435,                0.64682,                0.56167,                0.78613,              0.0006536,              0.0006536,              0.0006536
                     37,                  0.796,                0.58876,                0.90557,                 0.8832,                0.88398,                0.94005,                0.75381,                0.64991,                0.55467,                0.79252,               0.000614,               0.000614,               0.000614
                     38,                0.82464,                0.61396,                0.91591,                0.87525,                0.89156,                 0.9451,                0.77378,                0.61634,                0.52463,                0.77646,              0.0005744,              0.0005744,              0.0005744
                     39,                0.79133,                0.60863,                0.92525,                0.86458,                 0.8936,                0.93829,                0.76242,                0.61817,                0.54586,                0.77929,              0.0005348,              0.0005348,              0.0005348
                     40,                0.77613,                0.57455,                0.89913,                 0.8626,                0.89028,                0.93577,                0.75925,                0.61993,                0.56096,                  0.777,              0.0004952,              0.0004952,              0.0004952
                     41,                0.74853,                0.56891,                0.90443,                0.89188,                0.88109,                0.94075,                0.76498,                0.61737,                 0.5635,                 0.7759,              0.0004556,              0.0004556,              0.0004556
                     42,                 0.7294,                0.54492,                0.91255,                0.88736,                0.87044,                0.94615,                0.77526,                0.62258,                0.55799,                0.78049,               0.000416,               0.000416,               0.000416
                     43,                0.74957,                  0.533,                0.90954,                0.92576,                0.83794,                 0.9377,                0.75838,                0.62481,                0.56357,                0.77934,              0.0003764,              0.0003764,              0.0003764
                     44,                0.73966,                0.52411,                0.89969,                0.90833,                0.85766,                0.94054,                0.76364,                0.62245,                0.49991,                0.77877,              0.0003368,              0.0003368,              0.0003368
                     45,                 0.7082,                0.50975,                0.88277,                 0.8601,                0.90976,                0.94296,                0.76631,                0.61621,                0.56527,                0.77858,              0.0002972,              0.0002972,              0.0002972
                     46,                0.71047,                0.50797,                0.89144,                0.87693,                0.88398,                0.94292,                0.77548,                0.59619,                0.53454,                0.77461,              0.0002576,              0.0002576,              0.0002576
                     47,                0.70627,                0.49343,                0.89511,                0.87605,                0.88513,                0.94893,                0.77897,                0.59955,                0.46991,                0.77348,               0.000218,               0.000218,               0.000218
