                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79964,                0.61848,                0.91815,                0.83302,                0.87282,                0.90711,                0.70721,                 0.8414,                0.63528,                0.98545,                0.06748,              3.252e-07,              3.252e-07
                      2,                0.74929,                0.54624,                0.88828,                0.83798,                0.89535,                0.93627,                0.76448,                0.72871,                0.53929,                0.93434,               0.034147,             6.5195e-07,             6.5195e-07
                      3,                0.73387,                0.62738,                0.87507,                0.86953,                 0.8837,                0.94558,                0.78039,                0.69587,                 0.5241,                0.92522,             0.00081398,             9.7203e-07,             9.7203e-07
                      4,                0.73105,                0.53384,                0.89865,                0.88263,                0.87254,                0.94658,                  0.783,                0.68579,                0.51361,                0.92034,                9.7e-07,                9.7e-07,                9.7e-07
                      5,                0.77128,                0.55218,                0.90774,                0.89356,                0.86188,                0.94686,                0.78342,                0.68499,                0.50973,                0.91918,                9.7e-07,                9.7e-07,                9.7e-07
                      6,                0.73023,                0.52691,                0.88879,                0.89328,                0.86004,                 0.9471,                0.78438,                0.68415,                0.51096,                0.91832,                9.6e-07,                9.6e-07,                9.6e-07
                      7,                0.74198,                0.52749,                0.89972,                0.89152,                0.86272,                 0.9464,                0.78405,                0.68188,                0.51063,                0.91761,                9.5e-07,                9.5e-07,                9.5e-07
                      8,                 0.7334,                0.53385,                0.89208,                0.89304,                0.86104,                0.94555,                0.78374,                0.68043,                0.51324,                0.91731,                9.4e-07,                9.4e-07,                9.4e-07
                      9,                0.72371,                 0.5427,                0.89284,                0.89205,                0.86748,                0.94579,                0.78477,                0.67856,                0.51068,                0.91619,                9.3e-07,                9.3e-07,                9.3e-07
                     10,                  0.724,                0.51652,                0.88737,                0.89158,                0.86319,                0.94672,                0.78592,                0.67851,                0.50867,                0.91589,                9.2e-07,                9.2e-07,                9.2e-07
                     11,                0.72965,                0.58596,                0.88922,                0.89289,                0.86188,                0.94681,                0.78618,                0.67786,                0.50781,                0.91634,                9.1e-07,                9.1e-07,                9.1e-07
                     12,                0.73205,                0.51818,                0.89258,                0.89176,                0.86188,                0.94677,                0.78647,                0.67636,                0.50874,                0.91495,                  9e-07,                  9e-07,                  9e-07
                     13,                0.72368,                0.53148,                0.89001,                0.89211,                0.86188,                 0.9466,                0.78668,                0.67511,                0.50755,                0.91456,                8.9e-07,                8.9e-07,                8.9e-07
                     14,                0.71995,                0.51689,                0.89404,                0.89093,                 0.8725,                0.94586,                0.78553,                 0.6748,                0.50833,                0.91392,                8.8e-07,                8.8e-07,                8.8e-07
                     15,                0.71357,                0.51354,                0.88836,                0.88609,                0.87109,                0.94575,                0.78704,                0.67528,                0.50387,                0.91406,                8.7e-07,                8.7e-07,                8.7e-07
                     16,                0.69918,                0.54401,                0.86735,                0.88826,                0.86376,                0.94601,                0.78551,                0.67413,                0.50677,                0.91389,                8.6e-07,                8.6e-07,                8.6e-07
                     17,                 0.7177,                0.50516,                0.89101,                0.89171,                0.86436,                0.94582,                0.78589,                0.67356,                0.50793,                0.91355,                8.5e-07,                8.5e-07,                8.5e-07
                     18,                0.73217,                0.53752,                0.89422,                0.89172,                0.86451,                0.94542,                  0.787,                0.67397,                0.50776,                0.91424,                8.4e-07,                8.4e-07,                8.4e-07
                     19,                0.70033,                0.51384,                 0.8851,                0.89326,                0.86303,                0.94559,                0.78672,                0.67435,                0.50808,                 0.9137,                8.3e-07,                8.3e-07,                8.3e-07
                     20,                0.71277,                0.50272,                0.88653,                0.88828,                 0.8639,                0.94601,                0.78749,                0.67239,                0.50597,                0.91327,                8.2e-07,                8.2e-07,                8.2e-07
