                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.78703,                0.60392,                0.91187,                0.82776,                0.86736,                0.89676,                0.71499,                0.77762,                 0.6498,                  0.962,                0.06748,              3.252e-10,              3.252e-10
                      2,                0.75272,                0.54404,                0.88828,                0.85487,                0.88766,                0.93915,                0.76408,                0.71382,                0.54592,                0.92285,               0.034146,             6.5195e-10,             6.5195e-10
                      3,                0.73392,                0.62441,                 0.8741,                0.86325,                0.89319,                0.94697,                0.77645,                0.69418,                0.52489,                0.91843,             0.00081301,             9.7203e-10,             9.7203e-10
                      4,                0.73172,                0.53113,                0.89771,                0.91493,                0.84346,                0.94755,                0.78352,                 0.6891,                0.51346,                0.91734,                9.7e-10,                9.7e-10,                9.7e-10
                      5,                0.77149,                0.55362,                 0.9068,                0.91602,                0.84715,                0.94884,                0.78618,                0.68949,                0.51259,                0.91781,                9.7e-10,                9.7e-10,                9.7e-10
                      6,                0.73645,                0.52916,                0.89042,                0.90874,                0.84715,                0.94863,                0.78602,                 0.6911,                0.51285,                0.91827,                9.6e-10,                9.6e-10,                9.6e-10
                      7,                0.74788,                0.53168,                0.90044,                0.91279,                0.84811,                0.94903,                0.78527,                0.68895,                0.51264,                0.91779,                9.5e-10,                9.5e-10,                9.5e-10
                      8,                0.73898,                0.53536,                0.89386,                0.86252,                0.89687,                0.94876,                0.78514,                0.68954,                0.51408,                0.91803,                9.4e-10,                9.4e-10,                9.4e-10
                      9,                 0.7317,                0.54975,                0.89409,                0.86328,                0.89539,                0.94899,                0.78638,                 0.6902,                0.51356,                0.91774,                9.3e-10,                9.3e-10,                9.3e-10
                     10,                0.72956,                0.52018,                0.88888,                0.91321,                0.84715,                0.94894,                0.78635,                0.68914,                0.51265,                0.91758,                9.2e-10,                9.2e-10,                9.2e-10
