                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9594,                 3.2283,                 1.4623,                 0.2645,                0.82257,                0.25403,                0.16024,                 1.1771,                 8.3165,                 1.1169,             0.00065041,             0.00065041,             0.00065041
                      2,                 1.1579,                 1.1114,                 1.0405,                0.66732,                0.60958,                0.63119,                0.42646,                 1.1976,                 1.8859,                 1.1786,               0.001291,               0.001291,               0.001291
                      3,                  1.121,                 1.1177,                  1.035,                0.72058,                0.76611,                0.80848,                0.55274,                 1.1099,                 2.3744,                 1.1084,              0.0019052,              0.0019052,              0.0019052
                      4,                 1.1547,                 1.0005,                 1.0703,                0.75431,                0.79742,                0.82546,                0.57713,                 1.0302,                 1.4498,                 1.0909,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.1234,                  0.962,                  1.052,                0.81411,                0.83883,                0.88999,                0.64254,                0.94014,                0.99438,                 1.0454,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.0484,                0.88881,                 1.0212,                0.80509,                  0.814,                0.88094,                0.64719,                0.92914,                0.88563,                 1.0541,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.0451,                0.89991,                 1.0388,                0.80548,                0.81596,                 0.8748,                0.64496,                0.94538,                0.81558,                 1.0565,               0.001802,               0.001802,               0.001802
                      8,                  1.032,                0.89452,                 1.0238,                0.83461,                0.83794,                0.89837,                0.65239,                0.98781,                0.79554,                 1.0739,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.0254,                0.87344,                 1.0303,                0.80952,                0.83744,                0.89395,                 0.6652,                0.87215,                0.87516,                 1.0186,              0.0017228,              0.0017228,              0.0017228
                     10,                0.96295,                0.79592,                 0.9935,                 0.8387,                0.82136,                0.89712,                0.67577,                 0.9039,                0.76845,                 1.0256,              0.0016832,              0.0016832,              0.0016832
                     11,                0.98234,                0.91282,                 1.0079,                0.84724,                0.82689,                0.90541,                 0.6662,                0.91568,                0.76505,                 1.0342,              0.0016436,              0.0016436,              0.0016436
                     12,                0.99486,                0.78391,                 1.0084,                0.82663,                0.79027,                0.88377,                0.66968,                0.86232,                0.74848,                 1.0186,               0.001604,               0.001604,               0.001604
                     13,                0.95462,                0.76334,                0.99719,                 0.8709,                0.83057,                0.91658,                0.70175,                  0.872,                0.68122,                 1.0233,              0.0015644,              0.0015644,              0.0015644
                     14,                0.94556,                0.74578,                0.99227,                0.86534,                0.84025,                0.92078,                0.70149,                 0.8563,                0.72272,                  1.011,              0.0015248,              0.0015248,              0.0015248
                     15,                0.91173,                0.72603,                0.97749,                0.85322,                 0.8453,                0.91492,                 0.6971,                0.89874,                0.72052,                  1.041,              0.0014852,              0.0014852,              0.0014852
                     16,                0.89091,                0.81555,                0.95157,                0.82728,                0.87293,                 0.9239,                0.73298,                0.74902,                0.67125,                0.97741,              0.0014456,              0.0014456,              0.0014456
                     17,                0.91506,                 0.6972,                0.97909,                0.88908,                0.87094,                0.93127,                 0.7269,                0.79415,                0.61383,                0.98642,               0.001406,               0.001406,               0.001406
                     18,                0.92721,                0.71262,                 0.9804,                0.88539,                0.86556,                0.92863,                0.73122,                0.82963,                0.61965,                 1.0091,              0.0013664,              0.0013664,              0.0013664
                     19,                 0.9028,                0.69781,                 0.9773,                  0.884,                 0.8453,                0.92315,                0.72518,                0.85653,                0.62278,                   1.03,              0.0013268,              0.0013268,              0.0013268
                     20,                0.88558,                0.65669,                0.96977,                0.88099,                0.85267,                0.92605,                0.72241,                0.81344,                0.61308,                0.99957,              0.0012872,              0.0012872,              0.0012872
                     21,                0.88343,                 0.7209,                0.97076,                0.87599,                0.85861,                0.93017,                0.71687,                0.84082,                0.62055,                 1.0125,              0.0012476,              0.0012476,              0.0012476
                     22,                0.85482,                0.64299,                0.95465,                0.83499,                0.87293,                0.92838,                0.74783,                0.76103,                0.61478,                0.98019,               0.001208,               0.001208,               0.001208
                     23,                0.83451,                 0.6087,                0.95263,                0.83833,                0.88811,                0.92488,                0.74141,                0.79403,                0.60006,                0.99259,              0.0011684,              0.0011684,              0.0011684
                     24,                0.84534,                0.66859,                 0.9699,                0.88701,                0.85083,                0.94102,                0.75019,                0.76922,                0.57226,                 0.9758,              0.0011288,              0.0011288,              0.0011288
                     25,                0.84819,                0.65065,                0.94821,                 0.8554,                0.87157,                0.92788,                0.73931,                0.77642,                0.57206,                0.98152,              0.0010892,              0.0010892,              0.0010892
                     26,                0.82905,                0.61097,                0.94136,                0.86884,                0.90792,                0.93457,                0.75204,                0.74289,                0.54401,                0.97979,              0.0010496,              0.0010496,              0.0010496
                     27,                0.84726,                 0.6345,                0.96564,                0.87024,                0.85451,                0.92148,                0.72591,                0.78794,                0.62696,                 0.9919,                0.00101,                0.00101,                0.00101
                     28,                 0.8221,                0.61823,                0.95462,                   0.87,                0.88029,                0.93894,                0.75403,                0.75227,                0.55451,                0.97391,              0.0009704,              0.0009704,              0.0009704
                     29,                0.81614,                0.60259,                0.95405,                0.88087,                0.87147,                0.93655,                0.75739,                0.73672,                0.53956,                0.97223,              0.0009308,              0.0009308,              0.0009308
                     30,                0.79949,                0.59263,                0.94665,                0.86675,                0.89134,                0.93351,                0.75556,                0.74435,                0.57158,                0.97377,              0.0008912,              0.0008912,              0.0008912
                     31,                0.78049,                0.57772,                0.93296,                0.88252,                 0.8674,                0.93176,                0.75762,                0.73128,                0.54674,                0.96531,              0.0008516,              0.0008516,              0.0008516
                     32,                0.78645,                0.59216,                0.92121,                0.90316,                0.84163,                0.92866,                0.75345,                0.77096,                0.55538,                0.98146,               0.000812,               0.000812,               0.000812
                     33,                0.78204,                0.58265,                0.93591,                0.88857,                0.85083,                0.92743,                0.75216,                0.73499,                0.55162,                0.96934,              0.0007724,              0.0007724,              0.0007724
                     34,                0.77627,                0.64201,                0.91031,                0.88226,                0.87477,                0.94326,                0.76718,                0.72298,                0.52489,                0.96152,              0.0007328,              0.0007328,              0.0007328
