                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9787,                 3.2943,                 1.5146,                0.01116,                0.99263,                0.62692,                0.39905,                0.95713,                 3.8453,                0.96672,               0.070732,               0.003252,               0.003252
                      2,                 1.2952,                 1.5006,                  1.161,                0.76858,                0.69061,                0.80588,                0.51186,                0.99061,                  3.018,                0.99961,               0.040667,              0.0065202,              0.0065202
                      3,                 1.2726,                 1.7384,                 1.1289,                0.79024,                0.75322,                0.84512,                0.55473,                0.98919,                 5.1012,                0.99246,               0.010535,              0.0097223,              0.0097223
                      4,                 1.2944,                 1.3128,                 1.1517,                0.81182,                0.77064,                0.85993,                0.57013,                 0.9585,                   3.18,                0.96737,               0.009703,               0.009703,               0.009703
                      5,                 1.2497,                 1.2723,                 1.1177,                0.74255,                0.82329,                0.85611,                0.62151,                0.81528,                 2.5341,                0.89483,               0.009703,               0.009703,               0.009703
                      6,                 1.1634,                 1.1545,                  1.072,                0.85611,                0.76427,                0.88444,                 0.6433,                0.84023,                 2.3812,                 0.9093,               0.009604,               0.009604,               0.009604
                      7,                 1.1398,                 1.1121,                 1.0668,                0.80285,                0.77901,                0.87087,                0.59545,                 0.8938,                 3.1711,                0.91843,               0.009505,               0.009505,               0.009505
                      8,                 1.1233,                 1.0361,                 1.0494,                0.79972,                0.85451,                0.90139,                0.66005,                0.80029,                 2.3955,                0.87339,               0.009406,               0.009406,               0.009406
                      9,                 1.1007,                  1.002,                 1.0401,                0.80145,                 0.8232,                 0.8891,                0.63589,                0.84006,                 2.4743,                0.88202,               0.009307,               0.009307,               0.009307
                     10,                 1.0956,                0.93395,                 1.0287,                0.78481,                 0.8866,                0.90332,                 0.6644,                0.82564,                 1.5162,                0.88063,               0.009208,               0.009208,               0.009208
                     11,                 1.0818,                 1.0246,                 1.0329,                0.84849,                 0.8354,                0.91575,                0.68625,                0.75411,                 1.6747,                0.85312,               0.009109,               0.009109,               0.009109
                     12,                 1.0507,                0.89449,                 1.0198,                0.80598,                0.84917,                0.90796,                0.68034,                0.76957,                 2.1139,                0.85521,                0.00901,                0.00901,                0.00901
                     13,                 1.0484,                0.88344,                 1.0151,                0.85194,                0.83711,                0.91496,                0.68255,                0.76865,                 2.2808,                0.84777,               0.008911,               0.008911,               0.008911
                     14,                 1.0261,                0.84196,                 1.0156,                0.82709,                0.85449,                0.90538,                0.68271,                0.74188,                 1.7353,                0.84784,               0.008812,               0.008812,               0.008812
                     15,                 1.0209,                0.82892,                 1.0065,                0.86772,                0.87109,                0.93124,                0.71077,                 0.7286,                 1.2599,                0.83617,               0.008713,               0.008713,               0.008713
                     16,                0.95592,                 0.9198,                0.96524,                 0.8636,                0.83057,                0.92271,                0.71266,                0.72824,                 0.8883,                0.83863,               0.008614,               0.008614,               0.008614
                     17,                0.98577,                0.80161,                0.99658,                0.84816,                 0.8641,                  0.928,                 0.7267,                0.70119,                0.83167,                0.83167,               0.008515,               0.008515,               0.008515
                     18,                0.96599,                 0.8071,                0.99013,                0.85943,                0.84445,                0.92245,                0.72372,                0.69643,                 1.2082,                0.82528,               0.008416,               0.008416,               0.008416
                     19,                0.96516,                0.77795,                0.98712,                0.87355,                0.82689,                0.91948,                0.69936,                0.74819,                 1.1106,                0.84404,               0.008317,               0.008317,               0.008317
                     20,                0.97055,                0.73817,                0.99344,                0.84173,                0.85213,                0.89759,                0.67854,                 0.7495,                 1.6163,                 0.8525,               0.008218,               0.008218,               0.008218
                     21,                0.94992,                0.78745,                0.98629,                0.87646,                0.83794,                 0.9174,                0.70745,                0.69318,                 1.4116,                0.82255,               0.008119,               0.008119,               0.008119
                     22,                 0.9315,                0.75038,                0.97071,                0.80216,                0.81031,                0.87516,                0.64648,                0.79737,                 1.0533,                0.86979,                0.00802,                0.00802,                0.00802
                     23,                0.95755,                  0.708,                0.98587,                0.86099,                 0.8213,                0.91695,                0.70459,                0.73009,                0.72501,                0.84992,               0.007921,               0.007921,               0.007921
                     24,                0.90859,                0.76187,                 0.9802,                0.87892,                 0.8288,                0.91132,                0.71203,                0.70445,                  1.482,                0.82871,               0.007822,               0.007822,               0.007822
                     25,                0.94284,                0.74284,                0.97901,                0.85318,                0.88029,                0.92958,                 0.7221,                0.70096,                0.91615,                0.83133,               0.007723,               0.007723,               0.007723
                     26,                0.91022,                0.70064,                0.96399,                0.85122,                 0.8745,                0.93189,                0.74429,                0.66754,                0.84231,                 0.8185,               0.007624,               0.007624,               0.007624
                     27,                0.93905,                0.72478,                0.98892,                0.81572,                0.90484,                0.91908,                0.70587,                0.72111,                0.72678,                0.84297,               0.007525,               0.007525,               0.007525
                     28,                0.90593,                   0.71,                0.97377,                0.83319,                0.88305,                0.92531,                0.71347,                0.71771,                0.76966,                0.83194,               0.007426,               0.007426,               0.007426
                     29,                0.90561,                0.71107,                0.97644,                0.90585,                0.81505,                0.91635,                0.69531,                0.75494,                0.76571,                0.85425,               0.007327,               0.007327,               0.007327
                     30,                0.88689,                0.67735,                0.97191,                 0.8935,                0.84346,                0.93991,                0.73395,                0.69223,                0.82241,                0.82986,               0.007228,               0.007228,               0.007228
                     31,                0.87922,                0.66667,                0.95982,                 0.8644,                0.86873,                0.93469,                0.75398,                0.65475,                 0.6571,                0.81546,               0.007129,               0.007129,               0.007129
