                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79627,                0.62036,                0.95822,                0.80535,                0.75859,                0.83312,                0.66701,                0.84171,                0.79497,                 1.0531,                0.06748,              3.252e-10,              3.252e-10
                      2,                0.77157,                0.61095,                0.93936,                0.84836,                0.76902,                0.85022,                0.68611,                 0.7987,                0.74033,                 1.0252,               0.034146,             6.5195e-10,             6.5195e-10
                      3,                0.75724,                0.57449,                0.93745,                0.83796,                0.78426,                0.86281,                 0.6996,                0.78979,                0.67908,                  1.016,             0.00081301,             9.7203e-10,             9.7203e-10
                      4,                0.75285,                0.57838,                0.93912,                0.83244,                0.79317,                0.86291,                0.70017,                0.78227,                0.67763,                 1.0134,                9.7e-10,                9.7e-10,                9.7e-10
                      5,                0.74626,                0.58525,                0.93295,                0.84199,                0.79225,                0.86289,                0.70039,                 0.7807,                0.67729,                 1.0119,                9.7e-10,                9.7e-10,                9.7e-10
                      6,                0.73869,                0.57246,                0.92333,                0.84101,                0.79174,                0.86284,                0.70064,                0.77982,                0.67815,                 1.0124,                9.6e-10,                9.6e-10,                9.6e-10
                      7,                0.74433,                0.57237,                0.93496,                0.84079,                0.78933,                0.86262,                0.70046,                0.78109,                0.67819,                 1.0129,                9.5e-10,                9.5e-10,                9.5e-10
                      8,                 0.7592,                 0.5864,                0.93995,                0.84227,                0.78793,                0.86232,                0.70004,                 0.7797,                0.67974,                  1.012,                9.4e-10,                9.4e-10,                9.4e-10
                      9,                0.73688,                0.56483,                0.92692,                0.83982,                 0.7925,                0.86225,                0.69915,                0.77932,                0.67928,                 1.0116,                9.3e-10,                9.3e-10,                9.3e-10
                     10,                0.74741,                 0.5925,                0.93919,                0.83828,                0.79091,                0.86212,                0.69961,                0.78058,                0.67973,                 1.0131,                9.2e-10,                9.2e-10,                9.2e-10
                     11,                0.72029,                0.55366,                0.92408,                0.83992,                0.79193,                0.86159,                0.69948,                0.78064,                  0.678,                 1.0122,                9.1e-10,                9.1e-10,                9.1e-10
                     12,                0.77364,                0.61809,                0.95944,                0.84028,                0.79069,                0.86192,                0.69911,                0.77969,                0.67793,                 1.0119,                  9e-10,                  9e-10,                  9e-10
                     13,                0.72555,                0.54998,                0.92545,                0.83965,                0.78793,                0.86172,                0.69853,                0.77989,                0.67808,                 1.0118,                8.9e-10,                8.9e-10,                8.9e-10
                     14,                0.74269,                0.57073,                0.93053,                0.84038,                0.78915,                0.86241,                0.69934,                0.78026,                0.68168,                 1.0129,                8.8e-10,                8.8e-10,                8.8e-10
                     15,                0.72884,                0.55556,                0.92973,                 0.8366,                0.79269,                0.86134,                0.69919,                0.78237,                  0.682,                 1.0138,                8.7e-10,                8.7e-10,                8.7e-10
                     16,                0.73526,                0.55112,                0.93694,                0.84089,                0.79096,                0.86151,                0.69863,                  0.781,                0.68079,                 1.0125,                8.6e-10,                8.6e-10,                8.6e-10
                     17,                 0.7372,                0.55437,                0.92721,                 0.8401,                0.78999,                0.86283,                0.70036,                0.77992,                0.67747,                 1.0122,                8.5e-10,                8.5e-10,                8.5e-10
                     18,                0.74431,                0.57146,                0.93775,                0.84157,                0.78907,                0.86258,                0.69918,                0.77944,                0.67806,                 1.0119,                8.4e-10,                8.4e-10,                8.4e-10
                     19,                 0.7247,                0.54963,                0.92904,                0.83889,                0.79343,                0.86261,                0.70058,                0.77998,                0.67897,                 1.0116,                8.3e-10,                8.3e-10,                8.3e-10
                     20,                0.72479,                0.55808,                0.93257,                0.83978,                0.79317,                0.86163,                0.69913,                0.78101,                0.68093,                 1.0126,                8.2e-10,                8.2e-10,                8.2e-10
