                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  0.765,                0.58448,                0.93961,                0.88538,                 0.8895,                0.94801,                 0.7749,                0.71959,                0.51409,                0.96504,                0.06748,              3.252e-07,              3.252e-07
                      2,                0.73291,                0.53003,                0.91143,                0.86545,                0.90792,                0.94966,                0.78274,                0.69477,                0.49437,                0.95362,               0.034147,             6.5195e-07,             6.5195e-07
                      3,                0.73044,                  0.724,                0.90434,                0.89345,                 0.8802,                0.95032,                0.78341,                0.68149,                0.49129,                0.95089,             0.00081398,             9.7203e-07,             9.7203e-07
                      4,                0.73046,                0.53448,                0.92999,                0.88538,                0.88766,                0.95109,                 0.7836,                0.67604,                0.49185,                0.94905,                9.7e-07,                9.7e-07,                9.7e-07
                      5,                0.76918,                0.56085,                0.93544,                0.89574,                0.87293,                0.94994,                0.78392,                0.67443,                0.48926,                0.94851,                9.7e-07,                9.7e-07,                9.7e-07
                      6,                0.74232,                0.53151,                0.92428,                0.88522,                0.88766,                0.95158,                0.78403,                0.67518,                0.48828,                0.94862,                9.6e-07,                9.6e-07,                9.6e-07
                      7,                0.74214,                0.53004,                0.92778,                0.88702,                0.88582,                 0.9499,                0.78386,                 0.6755,                0.48722,                0.94867,                9.5e-07,                9.5e-07,                9.5e-07
                      8,                 0.7362,                0.52841,                0.92401,                0.88778,                0.88873,                  0.951,                0.78362,                0.67576,                0.48864,                0.94849,                9.4e-07,                9.4e-07,                9.4e-07
                      9,                0.72627,                0.55343,                0.92561,                 0.8853,                0.88582,                0.95002,                0.78616,                0.67546,                0.48777,                0.94859,                9.3e-07,                9.3e-07,                9.3e-07
                     10,                0.72722,                0.52165,                0.92167,                0.88491,                0.88582,                0.95017,                0.78556,                0.67529,                0.48821,                 0.9489,                9.2e-07,                9.2e-07,                9.2e-07
